symbol,iri,curie
IA,https://purl.brain-bican.org/ontology/mbao/MBA_1105,MBA:1105
IAD,https://purl.brain-bican.org/ontology/mbao/MBA_1113,MBA:1113
IAM,https://purl.brain-bican.org/ontology/mbao/MBA_1120,MBA:1120
IB,https://purl.brain-bican.org/ontology/mbao/MBA_1129,MBA:1129
IC,https://purl.brain-bican.org/ontology/mbao/MBA_4,MBA:4
ICB,https://purl.brain-bican.org/ontology/mbao/MBA_372,MBA:372
ICc,https://purl.brain-bican.org/ontology/mbao/MBA_811,MBA:811
ICd,https://purl.brain-bican.org/ontology/mbao/MBA_820,MBA:820
ICe,https://purl.brain-bican.org/ontology/mbao/MBA_828,MBA:828
IF,https://purl.brain-bican.org/ontology/mbao/MBA_12,MBA:12
IG,https://purl.brain-bican.org/ontology/mbao/MBA_19,MBA:19
IGL,https://purl.brain-bican.org/ontology/mbao/MBA_27,MBA:27
III,https://purl.brain-bican.org/ontology/mbao/MBA_35,MBA:35
IIIn,https://purl.brain-bican.org/ontology/mbao/MBA_832,MBA:832
IIn,https://purl.brain-bican.org/ontology/mbao/MBA_848,MBA:848
ILA,https://purl.brain-bican.org/ontology/mbao/MBA_44,MBA:44
ILA1,https://purl.brain-bican.org/ontology/mbao/MBA_707,MBA:707
ILA2,https://purl.brain-bican.org/ontology/mbao/MBA_747,MBA:747
ILA2/3,https://purl.brain-bican.org/ontology/mbao/MBA_556,MBA:556
ILA5,https://purl.brain-bican.org/ontology/mbao/MBA_827,MBA:827
ILA6a,https://purl.brain-bican.org/ontology/mbao/MBA_1054,MBA:1054
ILA6b,https://purl.brain-bican.org/ontology/mbao/MBA_1081,MBA:1081
ILM,https://purl.brain-bican.org/ontology/mbao/MBA_51,MBA:51
IMD,https://purl.brain-bican.org/ontology/mbao/MBA_59,MBA:59
INC,https://purl.brain-bican.org/ontology/mbao/MBA_67,MBA:67
IO,https://purl.brain-bican.org/ontology/mbao/MBA_83,MBA:83
IP,https://purl.brain-bican.org/ontology/mbao/MBA_91,MBA:91
IPA,https://purl.brain-bican.org/ontology/mbao/MBA_607344842,MBA:607344842
IPC,https://purl.brain-bican.org/ontology/mbao/MBA_607344838,MBA:607344838
IPDL,https://purl.brain-bican.org/ontology/mbao/MBA_607344858,MBA:607344858
IPDM,https://purl.brain-bican.org/ontology/mbao/MBA_607344854,MBA:607344854
IPI,https://purl.brain-bican.org/ontology/mbao/MBA_607344850,MBA:607344850
IPL,https://purl.brain-bican.org/ontology/mbao/MBA_607344846,MBA:607344846
IPN,https://purl.brain-bican.org/ontology/mbao/MBA_100,MBA:100
IPR,https://purl.brain-bican.org/ontology/mbao/MBA_607344834,MBA:607344834
IRN,https://purl.brain-bican.org/ontology/mbao/MBA_136,MBA:136
ISN,https://purl.brain-bican.org/ontology/mbao/MBA_106,MBA:106
IV,https://purl.brain-bican.org/ontology/mbao/MBA_115,MBA:115
IVd,https://purl.brain-bican.org/ontology/mbao/MBA_384,MBA:384
IVn,https://purl.brain-bican.org/ontology/mbao/MBA_911,MBA:911
IXn,https://purl.brain-bican.org/ontology/mbao/MBA_808,MBA:808
In,https://purl.brain-bican.org/ontology/mbao/MBA_840,MBA:840
IntG,https://purl.brain-bican.org/ontology/mbao/MBA_563807439,MBA:563807439
Isocortex,https://purl.brain-bican.org/ontology/mbao/MBA_315,MBA:315
KF,https://purl.brain-bican.org/ontology/mbao/MBA_123,MBA:123
LA,https://purl.brain-bican.org/ontology/mbao/MBA_131,MBA:131
