subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
071 LSX Prdm12 Zeb2 Gaba,0,0,0,10,0,2,0,0,14,0,58,3986,0,6,0,16,58,0,0,0,0,123,245,0,0
072 LSX Sall3 Lmo1 Gaba,0,0,0,128,0,0,0,0,19,0,113,1475,0,27,0,0,41,0,0,0,0,15,384,0,1
073 MEA-BST Sox6 Gaba,0,0,161,3,342,4,1,0,382,1,678,1799,6,0,0,0,2,0,35,1,3,3,32,0,2
074 MEA-BST Lhx6 Sp9 Gaba,0,0,33,0,422,0,0,0,40,0,852,1586,4,0,0,0,4,0,39,0,29,1,53,0,0
075 MEA-BST Lhx6 Nr2e1 Gaba,0,0,162,7,16,2,0,0,59,0,94,393,1,0,0,1,3,0,5,0,1,4,16,0,0
076 MEA-BST Lhx6 Nfib Gaba,0,0,33,14,616,0,0,0,51,0,593,1267,5,0,0,1,11,0,13,0,46,1,86,0,0
077 CEA-BST Gal Avp Gaba,0,0,0,0,17,0,0,0,0,0,84,56,0,0,0,0,1,0,0,0,1,3,6,0,0
078 SI-MA-ACB Ebf1 Bnc2 Gaba,0,0,1,0,8,0,0,0,8,0,308,217,0,0,0,0,0,0,2,0,0,0,2,0,0
079 CEA-BST Six3 Cyp26b1 Gaba,0,0,28,1,17,0,0,0,3,0,580,1895,0,0,0,7,0,0,16,0,17,30,81,0,0
080 CEA-AAA-BST Six3 Sp9 Gaba,0,0,387,1,73,12,0,0,223,0,564,1463,1,0,0,4,1,0,24,0,1,20,83,0,0
081 ACB-BST-FS D1 Gaba,0,0,22,0,46,0,0,0,14,0,1154,1274,0,0,0,3,1,0,57,0,0,7,48,0,0
082 CEA-BST Ebf1 Pdyn Gaba,0,0,10,0,34,1,0,0,4,0,954,1614,0,0,0,1,2,0,6,0,3,53,148,0,2
083 CEA-BST Rai14 Pdyn Crh Gaba,0,0,5,0,15,0,0,0,0,0,242,154,0,0,0,4,1,0,16,0,1,3,32,0,0
084 BST-SI-AAA Six3 Slc22a3 Gaba,0,0,5,0,118,0,0,0,2,0,236,109,0,0,0,0,0,0,0,0,0,0,0,0,0
085 SI-MPO-LPO Lhx8 Gaba,0,0,0,0,1370,0,0,0,2,0,1414,504,2,1,0,0,8,0,1,0,0,19,23,0,1
086 MPO-ADP Lhx8 Gaba,0,0,0,0,1380,0,9,0,0,0,625,154,1,9,0,1,5,0,11,0,8,0,10,0,0
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,0,0,0,0,565,0,0,0,0,0,114,79,3,1,0,0,4,0,0,0,7,0,17,0,0
088 BST Tac2 Gaba,0,0,0,0,489,0,1,0,0,1,588,58,2,1,0,0,0,0,2,0,3,3,7,0,1
089 PVR Six3 Sox3 Gaba,0,0,0,0,1360,0,2,0,0,0,275,352,8,44,0,42,17,0,36,0,26,2,25,0,4
090 BST-MPN Six3 Nrgn Gaba,0,1,3,0,1644,0,7,0,32,3,472,718,6,1,0,0,14,0,12,0,5,0,22,0,1
091 ARH-PVi Six6 Dopa-Gaba,0,0,0,0,192,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
092 TMv-PMv Tbx3 Hist-Gaba,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
093 RT-ZI Gnb3 Gaba,0,0,0,4,259,0,10,0,0,0,177,17,7194,0,0,0,82,0,7,7,122,625,31,0,0
094 SCH Six6 Cdc14a Gaba,0,0,0,0,1891,0,0,0,0,0,0,0,0,26,0,0,1,0,58,0,30,0,0,0,2
095 DMH Prdm13 Gaba,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
096 PVHd Gsc Gaba,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097 PVHd-SBPV Six3 Prox1 Gaba,0,0,0,0,1325,0,3,0,0,4,14,7,14,0,0,0,1,0,10,0,7,3,9,0,0
098 AHN-SBPV-PVHd Pdrm12 Gaba,0,0,0,0,2128,0,1,0,0,0,12,2,8,1,0,1,2,0,1,2,4,2,17,0,1
099 SBPV-PVa Six6 Satb2 Gaba,0,0,0,0,785,0,1,0,0,0,1,0,0,36,0,0,0,0,3,0,2,0,0,0,0
100 AHN Onecut3 Gaba,0,0,0,0,1198,0,0,0,0,0,16,3,0,0,0,0,1,0,8,0,11,1,7,0,0
101 ZI Pax6 Gaba,0,0,0,0,4909,0,76,0,1,26,160,4,406,2,0,1,14,0,11,74,90,194,69,0,0
102 DMH-LHA Gsx1 Gaba,0,0,0,0,2087,0,5,0,0,5,37,0,4,0,0,0,0,0,1,15,1,2,28,0,1
103 PVHd-DMH Lhx6 Gaba,0,0,0,0,1016,0,11,0,0,6,3,0,1,2,0,0,0,0,2,13,1,0,5,0,0
104 TU-ARH Otp Six6 Gaba,0,0,0,0,3168,0,0,0,0,0,2,3,0,21,0,0,0,0,0,0,4,0,5,0,0
105 TMd-DMH Foxd2 Gaba,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106 PVpo-VMPO-MPN Hmx2 Gaba,0,1,0,0,3234,0,12,1,0,3,169,16,2,38,0,0,25,0,173,2,77,1,3,0,12
107 DMH Hmx2 Gaba,0,0,0,0,2766,0,23,1,2,4,17,2,3,7,0,0,0,0,4,1,9,0,31,0,1
108 ARH-PVp Tbx3 Gaba,0,0,0,0,1211,0,1,0,0,0,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0
109 LGv-ZI Otx2 Gaba,0,0,0,2,505,0,2,0,0,1,5,0,537,2,0,0,32,0,5,0,119,146,32,0,0
110 BST-po Iigp1 Glut,0,0,0,0,7,0,0,0,0,0,70,0,142,0,0,0,18,0,0,0,15,0,21,0,0
111 TRS-BAC Sln Glut,0,0,0,13,91,0,0,0,0,0,460,703,86,1206,0,0,68,0,0,0,90,1,938,0,0
112 GPi Tbr1 Cngb3 Gaba-Glut,0,0,0,0,17,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,13,0,0,0
113 MEA-COA-BMA Ccdc42 Glut,0,0,2065,0,4,0,1,0,477,0,31,2543,0,0,0,0,0,0,2,0,0,0,8,0,1
114 COAa-PAA-MEA Barhl2 Glut,0,1,1343,64,36,175,5,0,2071,1,79,1236,0,0,0,2,1,0,21,0,0,24,28,0,31
115 MS-SF Bsx Glut,0,1,0,0,109,0,1,0,1,0,374,531,3,8,0,3,3,0,1,0,1,2,38,0,0
116 AVPV-MEPO-SFO Tbr1 Glut,0,0,0,0,1060,0,3,0,4,0,107,41,0,49,0,58,35,0,1,0,6,0,3,0,10
117 LHA Barhl2 Glut,0,0,0,0,940,0,5,0,0,3,103,3,37,0,0,0,3,0,10,3,10,3,58,0,0
118 ADP-MPO Trp73 Glut,0,0,2,1,571,0,3,0,15,0,239,90,10,0,0,1,0,0,0,2,5,3,32,0,0
119 SI-MA-LPO-LHA Skor1 Glut,0,0,14,0,907,0,1,0,54,0,1726,652,11,0,0,0,1,0,2,3,2,16,33,0,10
120 MEA Otp Foxp2 Glut,0,0,18,0,0,0,0,0,8,0,6,273,0,0,0,0,0,0,1,0,0,0,2,0,0
121 MEA-BST Otp Zic2 Glut,0,0,3,0,82,0,0,0,5,0,154,268,10,0,0,1,6,0,4,0,5,0,23,0,0
122 LHA-MEA Otp Glut,0,0,3,0,98,0,5,0,1,1,37,206,0,0,0,0,0,0,1,1,0,0,0,0,0
123 DMH Nkx2-4 Glut,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124 MPN-MPO-PVpo Hmx2 Glut,0,0,0,0,1482,0,2,0,0,4,33,2,0,5,0,0,12,0,35,0,23,0,0,0,1
125 DMH Hmx2 Glut,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
126 ARH-PVp Tbx3 Glut,0,0,0,0,1339,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,0
127 DMH-LHA Vgll2 Glut,0,0,0,0,583,0,0,0,0,1,7,0,0,4,0,0,0,0,1,3,6,0,6,0,0
128 VMH Fezf1 Glut,0,0,0,0,1327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
129 VMH Nr5a1 Glut,0,0,0,0,4032,0,0,0,0,0,2,0,0,7,0,0,0,0,9,0,26,0,6,0,0
130 LHA Pmch Glut,0,0,0,0,474,0,0,0,0,0,18,0,0,0,0,0,0,0,0,12,0,1,13,0,0
131 LHA-AHN-PVH Otp Trh Glut,0,0,0,0,1408,0,1,0,0,3,100,28,1,7,0,0,12,0,51,0,33,0,20,0,6
132 AHN-RCH-LHA Otp Fezf1 Glut,0,0,0,0,2420,0,7,1,0,5,92,0,3,2,0,0,1,0,18,0,11,2,25,0,2
133 PVH-SO-PVa Otp Glut,0,0,0,0,1810,0,1,0,0,0,38,16,1,21,0,0,11,0,53,1,75,0,5,0,26
134 PH-ant-LHA Otp Bsx Glut,0,1,0,0,1814,0,68,1,0,31,8,0,5,1,0,0,0,0,1,4,1,2,20,0,0
135 STN-PSTN Pitx2 Glut,0,0,0,0,2329,0,28,0,0,1,118,0,7,0,0,0,0,0,1,54,148,73,7,0,0
136 PMv-TMv Pitx2 Glut,0,0,0,0,1002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137 PH-an Pitx2 Glut,0,0,0,0,267,0,6,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
138 PH Pitx2 Glut,0,1,0,0,1197,0,214,1,0,5,0,0,26,3,0,0,0,0,1,0,0,0,39,0,0
139 PH-LHA Foxb1 Glut,0,1,0,0,773,0,36,0,0,0,11,2,3,0,0,0,1,0,0,0,2,1,17,0,0
140 PMd-LHA Foxb1 Glut,0,0,0,0,686,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,1,6,0,0
141 PH-SUM Foxa1 Glut,0,0,0,0,1562,0,139,0,0,2,0,0,36,15,0,0,0,0,0,0,0,0,40,0,0
142 HY Gnrh1 Glut,0,0,0,1,27,0,0,0,1,0,23,3,0,0,0,0,0,0,2,0,0,0,0,0,0
143 MM-ant Foxb1 Glut,0,0,0,0,983,0,1,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,2,0,0
144 MM Foxb1 Glut,0,0,0,0,2603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1
145 MH Tac2 Glut,0,0,0,3,0,0,0,0,0,0,0,0,4421,132,0,21,46,0,0,0,0,0,73,0,0
146 LH Pou4f1 Sox1 Glut,0,0,0,5,0,0,11,0,0,0,0,0,934,1,0,0,7,0,0,0,0,0,109,0,0
147 AD Serpinb7 Glut,0,0,0,22,0,0,0,0,0,0,0,0,1046,0,0,0,35,0,0,0,0,0,87,0,0
148 AV Col27a1 Glut,0,0,0,0,0,0,0,0,0,0,0,0,1682,0,0,0,36,0,0,0,0,0,4,0,0
149 PVT-PT Ntrk1 Glut,0,0,0,0,47,0,11,0,0,0,0,0,4017,55,0,0,2,0,0,0,5,0,45,0,0
150 CM-IAD-CL-PCN Sema5b Glut,0,0,0,0,1,0,1,0,0,0,0,0,3480,0,0,0,1,0,0,0,0,0,15,0,0
151 TH Prkcd Grin2c Glut,0,0,0,276,115,0,48,0,0,0,0,1,38210,0,0,0,300,0,63,0,90,158,114,0,3
152 RE-Xi Nox4 Glut,0,0,0,0,142,0,2,0,0,0,0,0,3657,0,0,0,14,0,2,0,1,0,42,0,0
153 MG-POL-SGN Nts Glut,0,0,0,1,3,0,54,0,0,0,0,0,699,0,0,0,43,0,4,0,5,1,0,0,0
