supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0128 NP SUB Glut_2,0,0,0,2278,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,25,0,0
0129 NP PPP Glut_1,0,0,0,699,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,1
0130 OB Eomes Ms4a15 Glut_1,0,0,0,0,0,2,0,0,1553,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1
0131 OB Eomes Ms4a15 Glut_2,0,0,0,0,0,10,0,0,1859,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,36
0132 OB Eomes Ms4a15 Glut_3,0,0,0,5,1,12,1,0,431,0,0,7,0,0,0,0,0,0,104,0,0,0,0,0,4
0133 OB Eomes Ms4a15 Glut_4,0,0,0,0,0,9,0,0,1960,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,9
0134 OB Eomes Ms4a15 Glut_5,0,0,0,0,0,1,0,0,533,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0
0135 HPF CR Glut_1,0,0,12,1436,2,99,3,0,145,0,15,53,2,5,0,3,70,0,33,0,3,1,5,0,55
0136 DG Glut_1,0,0,0,2472,0,0,0,0,2,0,0,299,0,0,0,0,2,0,0,0,30,0,0,0,0
0137 DG Glut_2,0,0,0,21661,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,14,0,81,0,0
0138 DG Glut_3,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0
0139 DG Glut_4,0,0,0,9088,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0
0140 DG-PIR Ex IMN_1,0,0,13,11,0,0,0,0,9,0,0,1,0,0,0,10,0,0,0,0,0,83,17,1,0
0141 DG-PIR Ex IMN_2,0,0,3,1205,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,59,29,3,0
0142 DG-PIR Ex IMN_3,0,0,49,0,0,12,0,0,91,0,0,18,0,0,0,0,0,0,1,0,0,15,11,1,0
0143 OB Meis2 Thsd7b Gaba_1,0,0,26,1,1,9,0,0,1609,0,16,80,1,0,0,0,0,0,596,0,0,6,2,0,32
0144 OB Meis2 Thsd7b Gaba_2,0,0,0,0,0,0,0,0,852,0,1,24,0,0,0,2,0,0,48,0,0,1,0,1,0
0145 OB Meis2 Thsd7b Gaba_3,0,0,0,0,0,0,0,0,381,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0146 OB Meis2 Thsd7b Gaba_4,0,0,0,0,0,5,0,0,744,0,0,2,0,0,0,0,0,0,262,0,0,0,0,0,18
0147 OB Meis2 Thsd7b Gaba_5,0,0,6,0,0,9,0,0,359,0,0,12,0,0,0,1,0,0,33,0,0,2,0,0,0
0148 OB Trdn Gaba_1,0,0,0,0,0,0,0,0,1121,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0
0149 OB Trdn Gaba_2,0,0,0,0,0,0,0,0,1628,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0150 OB-in Frmd7 Gaba_1,0,0,0,0,0,10,0,0,17539,0,0,4,0,0,0,0,1,0,210,0,0,2,2,0,11
0151 OB-in Frmd7 Gaba_2,0,0,6,0,0,5,0,0,17141,0,1,77,0,0,0,3,0,0,5,0,0,17,6,3,1
0152 OB-in Frmd7 Gaba_3,0,0,4,1,0,7,0,0,1134,0,0,8,0,0,0,0,0,0,1,0,0,12,1,1,0
0153 OB-in Frmd7 Gaba_4,0,0,1,0,0,2,0,0,2562,0,1,7,0,0,0,0,0,0,2,0,0,6,0,1,0
0154 OB-in Frmd7 Gaba_5,0,0,0,0,0,6,0,0,747,0,0,45,0,0,0,1,0,0,6,0,0,0,1,0,0
0155 OB-in Frmd7 Gaba_6,0,0,0,0,0,0,0,0,164,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0156 OB-in Frmd7 Gaba_7,0,0,0,0,0,0,0,0,469,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0157 OB-in Frmd7 Gaba_8,0,0,0,0,0,3,0,0,632,0,0,5,0,0,0,2,0,0,9,0,0,0,0,0,0
0158 OB-out Frmd7 Gaba_1,0,0,1,0,0,156,1,0,5753,0,0,105,0,0,0,6,1,0,2765,0,0,37,25,10,175
0159 OB-out Frmd7 Gaba_2,0,0,0,0,0,13,0,0,641,0,0,2,0,0,0,2,0,0,351,0,0,0,0,0,14
0160 OB-out Frmd7 Gaba_3,0,0,1,0,0,22,0,0,588,0,0,35,0,0,0,6,0,0,120,0,0,24,18,5,12
0161 OB-mi Frmd7 Gaba_1,0,0,0,0,0,15,0,0,1144,0,3,6,0,0,0,0,0,0,130,0,0,0,0,0,5
0162 OB Dopa-Gaba_1,0,0,0,2,0,61,0,0,2993,0,1,31,0,0,0,0,0,0,1410,0,0,7,9,3,82
0163 OB Dopa-Gaba_2,0,0,5,1,0,8,0,0,45,0,1,17,0,0,0,0,0,0,3,0,0,3,1,1,1
0164 OB Dopa-Gaba_3,0,0,0,0,0,1,0,0,60,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0
0165 OB Dopa-Gaba_4,0,0,1,0,0,7,0,0,338,0,0,4,0,0,0,0,0,0,97,0,0,2,0,2,1
0166 OB-STR-CTX Inh IMN_1,0,0,67,191,0,8,0,0,605,0,0,435,0,0,0,1283,8,0,9,0,6,2004,187,64,0
0167 OB-STR-CTX Inh IMN_2,0,0,0,0,0,0,0,0,782,0,0,54,0,0,0,27,0,0,1,0,0,2,0,0,0
0168 OB-STR-CTX Inh IMN_3,0,0,0,28,0,2,0,0,545,0,0,161,0,0,0,725,1,0,4,0,1,1331,90,52,0
0169 OB-STR-CTX Inh IMN_4,0,0,0,3,0,1,0,0,1975,0,0,275,0,0,0,674,0,0,19,0,0,392,21,20,0
0170 OB-STR-CTX Inh IMN_5,0,0,0,0,0,0,0,0,324,0,0,175,0,0,0,123,0,0,13,0,0,8,5,0,1
0171 OB-STR-CTX Inh IMN_6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
0172 OB-STR-CTX Inh IMN_7,0,0,19,6,0,0,0,0,0,0,0,2,0,0,0,14,3,0,0,0,2,46,15,4,0
0173 Vip Gaba_1,0,0,162,225,1,1273,1,0,128,0,5,53,0,0,0,3,2,0,2,0,0,24,24,7,5
0174 Vip Gaba_2,0,0,158,506,1,1018,0,0,242,0,8,45,0,0,0,0,5,0,1,0,0,20,16,8,4
0175 Vip Gaba_3,0,0,160,240,0,712,0,0,359,0,5,53,1,0,0,0,0,0,2,0,1,7,6,1,0
0176 Vip Gaba_4,0,0,134,208,3,772,0,0,113,0,10,26,0,0,0,1,1,0,6,0,0,26,6,4,0
0177 Vip Gaba_5,0,0,42,503,0,2450,0,0,199,0,8,23,0,0,0,1,4,0,3,0,1,38,9,3,1
0178 Vip Gaba_6,0,0,16,244,0,2356,0,0,192,0,3,8,0,0,0,0,0,0,0,0,1,7,4,1,3
0179 Vip Gaba_7,0,0,14,187,1,0,0,0,4,0,1,3,0,0,0,1,1,0,0,0,0,2,1,0,0
0180 Vip Gaba_8,0,0,6,61,0,174,0,0,21,0,0,1,0,0,0,0,1,0,0,0,0,9,6,2,0
0181 Vip Gaba_9,0,0,96,236,2,48,0,0,49,0,3,25,0,0,0,1,0,0,0,0,2,5,7,0,0
0182 Vip Gaba_10,0,0,21,39,0,0,0,0,12,0,1,19,0,0,0,1,2,0,0,0,1,1,0,0,0
0183 Vip Gaba_11,0,0,4,46,0,922,0,0,41,0,1,6,0,0,0,0,0,0,1,0,0,9,0,1,3
0184 Vip Gaba_12,0,0,3,41,0,1466,0,0,74,0,1,10,0,0,0,0,0,0,1,0,0,5,2,5,1
0185 Sncg Gaba_1,0,0,146,320,1,365,0,0,221,0,6,37,0,0,0,0,0,0,6,0,0,6,8,1,1
0186 Sncg Gaba_2,0,0,15,34,0,498,0,0,83,0,0,3,0,0,0,0,1,0,3,0,0,19,21,19,0
0187 Sncg Gaba_3,0,0,130,313,0,1017,0,0,220,0,1,25,0,0,0,0,0,0,1,0,1,10,3,1,1
0188 Sncg Gaba_4,0,0,41,276,0,352,0,0,128,0,1,2,0,0,0,0,0,0,1,0,0,23,11,9,0
0189 Sncg Gaba_5,0,0,32,246,0,90,0,0,39,0,0,0,0,0,0,6,1,0,1,0,0,34,46,11,0
0190 Sncg Gaba_6,0,0,17,56,0,407,0,0,61,0,0,1,0,0,0,0,0,0,1,0,0,10,4,12,0
0191 Sncg Gaba_7,0,0,4,16,0,159,0,0,13,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0
0192 Sncg Gaba_8,0,0,10,26,0,181,0,0,62,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0
0193 RHP-COA Ndnf Gaba_1,0,0,31,747,0,9,0,0,17,0,0,17,0,0,0,1,1,0,0,0,0,0,3,0,1
