class,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
11 CNU-HYa GABA,0.0,2.595514950166113e-05,0.023411544850498338,0.0007007890365448505,0.22194248338870431,0.0008565199335548172,0.0005191029900332226,0.0,0.05863268272425249,0.00012977574750830566,0.26559904485049834,0.3843957641196013,0.0017649501661129569,0.0015573089700996678,0.0,0.0016611295681063123,0.0019725913621262458,0.0,0.009551495016611296,2.595514950166113e-05,0.0041787790697674415,0.0041009136212624584,0.01840220099667774,2.595514950166113e-05,0.0005450581395348837
12 HY GABA,0.0,2.5431703161160704e-05,0.0,0.00015259021896696422,0.7086289768825819,0.0,0.003687596958368302,5.086340632232141e-05,7.629510948348211e-05,0.0012461534548968744,0.015615065740952672,0.0013987436738638387,0.20777701482668295,0.00361130184888482,0.0,5.086340632232141e-05,0.004043640802624552,0.0,0.00722260369776964,0.0028992141603723202,0.012130922407873656,0.024770478878970523,0.0061799038681620505,0.0,0.00043233895373973193
13 CNU-HYa Glut,0.0,8.511362669163333e-05,0.14673589241637586,0.0033194314409736997,0.16690782194229295,0.007447442335517917,0.0010213635202996,0.0,0.11217975997957273,0.00021278406672908332,0.1453315175759639,0.2785769001617159,0.012724487190399182,0.053749255255766445,0.0,0.002766192867478083,0.00574516980168525,0.0,0.0018299429738701167,0.00042556813345816664,0.005702612988339433,0.002638522427440633,0.05038726700144693,0.0,0.0022129542939824665
14 HY Glut,0.0,0.00010818608005769924,0.0,0.0,0.9221420843851424,0.0,0.01813919942300757,0.00010818608005769924,0.0,0.0020555355210962857,0.015939415795167687,0.0017309772809231878,0.0030292102416155787,0.0026685899747565813,0.0,0.0,0.0013703570140641903,0.0,0.006130544536602957,0.0026685899747565813,0.011756220699603318,0.0029210241615578794,0.007969707897583844,0.0,0.0012621709340064912
15 HY Gnrh1 Glut,0.0,0.0,0.0,0.017543859649122806,0.47368421052631576,0.0,0.0,0.0,0.017543859649122806,0.0,0.40350877192982454,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0
16 HY MM Glut,0.0,0.0,0.0,0.0,0.9827349958892847,0.0,0.0002740476842970677,0.0,0.0,0.0,0.0,0.0,0.0,0.013154288846259249,0.0,0.0,0.0005480953685941354,0.0,0.0,0.0,0.0,0.0,0.0030145245272677444,0.0,0.0002740476842970677
17 MH-LH Glut,0.0,0.0,0.0,0.0013881658858233559,0.0,0.0,0.0019087280930071143,0.0,0.0,0.0,0.0,0.0,0.9292035398230089,0.02307825785181329,0.0,0.003643935450286309,0.009196598993579733,0.0,0.0,0.0,0.0,0.0,0.031580773902481346,0.0,0.0
18 TH Glut,0.0,0.0,0.0,0.005103689967846753,0.005631071264524251,0.0,0.003232336979636277,0.0,0.0,0.0,0.0,1.7012299892822512e-05,0.9654820435174631,0.000935676494105238,0.0,0.0,0.0073663258535921474,0.0,0.0012589101920688658,0.0,0.0017182422891750737,0.002738980282744424,0.006464673959272554,0.0,5.103689967846753e-05
19 MB Glut,0.0003217622671864365,0.030654043685415508,0.0,0.002301837757564507,0.010840913309819938,0.0028834849328630654,0.8850813687271827,0.00016088113359321825,0.0,0.006658003836396263,0.00016088113359321825,0.0,0.032213353134088234,0.0006187735907431471,7.425283088917764e-05,1.2375471814862942e-05,0.002536971722046903,0.0005073943444093806,0.011447311428748221,0.0005816471752985582,0.0004455169853350659,0.0005940226471134212,0.002326588701194233,0.0,0.009578615184703917
20 MB GABA,0.0004722773212430339,0.013299329366203835,0.0,0.00627184282610749,0.018588835364125814,0.007745348068385756,0.8298857088882592,0.002871446113157646,0.00028336639274582036,0.03417398696514593,0.006328516104656654,0.0005289505997921979,0.021705865684329837,0.0006422971568905261,3.778218569944271e-05,0.0,0.0071975063757438364,0.0033248323415509587,0.014980636629829036,0.0022102578634173985,0.004420515726834797,0.0071975063757438364,0.0017190894493246435,0.0,0.016114102200812316
21 MB Dopa,0.001226993865030675,0.0,0.0,0.0,0.05300613496932515,0.0,0.8650306748466258,0.0,0.0,0.0049079754601227,0.0,0.0,0.0022085889570552146,0.000736196319018405,0.0,0.0,0.0,0.00245398773006135,0.02355828220858896,0.025521472392638037,0.0,0.006380368098159509,0.014969325153374234,0.0,0.0
22 MB-HB Sero,0.015328223925358214,0.0,0.0,0.0,0.0,0.0,0.4051982672442519,0.14661779406864378,0.0,0.34388537154281906,0.0,0.0,0.0,0.0,0.0006664445184938354,0.0,0.0006664445184938354,0.021992669110296566,0.045318227257580806,0.008330556481172943,0.0,0.007330889703432189,0.0006664445184938354,0.0,0.003998667110963012
23 P Glut,0.00018484288354898336,0.03471965495995071,0.0,0.0,0.0009242144177449168,0.0,0.07412199630314233,0.09349969192852742,0.0,0.6509858287122613,0.00012322858903265557,3.080714725816389e-05,0.00012322858903265557,0.0,0.0024645717806531116,0.004097350585335798,0.01139864448552064,0.03964879852125693,0.029574861367837338,0.003296364756623537,0.0,0.0036968576709796672,0.0004313000616142945,0.0,0.050677757239679606
24 MY Glut,0.0,0.07890583903208838,0.0,0.0,0.00634753638435911,0.0,0.0817815184990356,0.5817990531299316,0.0,0.1626863054532702,0.0011923549009293355,7.013852358407856e-05,0.0006663159740487463,0.0,0.012519726459758022,0.0058565667192705595,0.0039628265825004385,0.02861651762230405,0.017780115728563913,0.0040329651060845165,3.506926179203928e-05,0.0076450990706645626,0.0001753463089601964,0.0,0.005926705242854638
25 Pineal Glut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.5714285714285714
26 P GABA,0.002572178477690289,0.009973753280839895,0.0,0.0,0.003884514435695538,5.2493438320209976e-05,0.13611548556430447,0.10692913385826772,0.0,0.6658792650918636,0.0,0.0,0.0,0.0,0.001942257217847769,0.0003674540682414698,0.002467191601049869,0.0231496062992126,0.034488188976377954,0.010498687664041995,0.0,0.0009448818897637795,0.00031496062992125983,0.0,0.0004199475065616798
27 MY GABA,0.0,0.0464113911872234,0.0,0.0,0.0062728497209928805,0.0,0.04783528959014816,0.6225514720030787,0.0,0.16170867808350972,7.696748123917645e-05,3.8483740619588224e-05,0.00019241870309794111,0.0,0.029401577833365403,0.012507215701366172,0.0062728497209928805,0.016124687319607464,0.02709255339619011,0.00608043101789494,0.0,0.0026553781027515875,7.696748123917645e-05,0.0,0.014700788916682701
28 CB GABA,0.0005501237778500163,0.8758637360072683,0.0,0.0,0.00010002250506363932,2.500562626590983e-05,0.0007501687879772949,0.012636176473039768,0.0,0.0012169404782742784,8.335208755303277e-06,0.0,4.167604377651638e-05,0.0,0.0028173005592925073,0.0004084252290098606,0.0003250731414568278,0.02192993423520292,0.00022505063639318847,1.6670417510606553e-05,8.335208755303277e-06,0.0,0.0,0.0,0.08307702566410775
29 CB Glut,1.614656777790934e-05,0.8673344169474375,0.0,2.691094629651557e-05,0.0,2.691094629651557e-05,6.458627111163737e-05,0.01921441565571212,0.0,0.003912851591513364,0.0,5.382189259303114e-06,0.0,0.0,0.0020882894326096084,0.00047901484407797716,0.00013993692074188097,0.06162068482976135,0.0009365009311187418,5.382189259303114e-06,0.0,0.0,0.0,0.0,0.04412856973702623
30 Astro-Epen,0.004170269292379194,0.08242524516257256,0.01659784165207214,0.10710032937483331,0.040751429867281815,0.17604481807943387,0.08051082826134594,0.045692901709046004,0.06745304412671503,0.03817792356261604,0.02463091842749422,0.06999937148690909,0.033392730651564236,0.013417905148881162,0.011805854004902402,0.039859620751803576,0.008260700435372716,0.02188924240390969,0.018067203337574382,0.0014659643174432767,0.0054459809985204465,0.03931094581028077,0.025189785473193917,0.005228549442746704,0.023110596221107508
31 OPC-Oligo,8.907247716126015e-05,0.041407567820340815,0.008402503678878874,0.044883250106237484,0.037451265293094844,0.1017207689181591,0.12183630334374368,0.09482136329137648,0.031644853188145194,0.0863409211949815,0.03666074705828866,0.06451259726065019,0.04521727189559221,0.0028707317118431136,0.0024216579728217605,0.007251984182212598,0.006043938710713006,0.042372519656254465,0.041802826937743905,0.0045167168627189,0.01008374668529766,0.09633559540311791,0.048301406417300845,0.015272218479941063,0.007738171453384476
32 OEC,0.0,0.0,0.0,0.0,0.0,0.0015123690180404018,0.0,0.00021605271686291454,0.38597817867559686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512585070757264,0.0,0.0,0.0,0.0,0.0,0.06103489251377336
33 Vascular,0.00037121443507271573,0.08522660526748585,0.012550807038977516,0.08302986161689731,0.031969081126800275,0.2456993163075911,0.08369475835819844,0.056238986913516434,0.07124262857411366,0.0439019805934732,0.02099945962455654,0.07178535347602377,0.03269036487089726,0.0018184808401663416,0.0033103869558066866,0.004720062025703076,0.014977797617649133,0.015581608439254753,0.02279209642177478,0.001731550877522731,0.0039964288231562626,0.017891126095435004,0.009653924770340437,0.0030542959847755092,0.06107182294481122
34 Immune,0.0004491222588896917,0.03563687489016032,0.023002870477045946,0.0993341274335592,0.02968112319618832,0.2967721778524145,0.06645056726094004,0.04083107144949327,0.08207221104840756,0.03581261838276933,0.04055769268321259,0.1005252777723536,0.02540469820936908,0.001952705473433442,0.0019136513639647732,0.00388588389213255,0.00472554724570893,0.014996778035968834,0.01970279822694343,0.0018745972544961043,0.0035539239616488643,0.03719903926890707,0.01692995645466794,0.00587764347503466,0.010857042432289937
