taxonomy_level,cell_set,cell_count,percentage_of_total
subclass,132 AHN-RCH-LHA Otp Fezf1 Glut,2589,0.069
subclass,031 CT SUB Glut,2528,0.068
subclass,182 CUN-PPN Evx2 Meis2 Glut,2519,0.067
subclass,021 L4 RSP-ACA Glut,2502,0.067
subclass,086 MPO-ADP Lhx8 Gaba,2213,0.059
subclass,238 NTS Phox2b Glut,2206,0.059
subclass,072 LSX Sall3 Lmo1 Gaba,2203,0.059
subclass,089 PVR Six3 Sox3 Gaba,2193,0.059
subclass,102 DMH-LHA Gsx1 Gaba,2186,0.058
subclass,098 AHN-SBPV-PVHd Pdrm12 Gaba,2182,0.058
subclass,055 STR Lhx8 Gaba,2158,0.058
subclass,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,2155,0.058
subclass,217 PB Lmx1a Glut,2087,0.056
subclass,133 PVH-SO-PVa Otp Glut,2058,0.055
subclass,180 SCiw Pitx2 Glut,2038,0.054
subclass,277 DTN-LDT-IPN Otp Pax3 Gaba,2016,0.054
subclass,051 Pvalb chandelier Gaba,2014,0.054
subclass,201 PAG-RN Nkx2-2 Otx1 Gaba,2011,0.054
subclass,094 SCH Six6 Cdc14a Gaba,2008,0.054
subclass,172 PAG Pou4f1 Ebf2 Glut,1996,0.053
subclass,177 SCig-an-PPT Foxb1 Glut,1978,0.053
subclass,206 SCm-PAG Cdh23 Gaba,1976,0.053
subclass,134 PH-ant-LHA Otp Bsx Glut,1957,0.052
subclass,036 HPF CR Glut,1942,0.052
subclass,212 SCs Lef1 Gli3 Gaba,1928,0.052
subclass,335 BAM NN,1897,0.051
subclass,068 LSX Otx2 Gaba,1888,0.05
subclass,322 Tanycyte NN,1879,0.05
subclass,208 SC Lef1 Otx2 Gaba,1870,0.05
subclass,253 IO Fgl2 Glut,1868,0.05
subclass,025 CA2-FC-IG Glut,1860,0.05
subclass,261 HB Calcb Chol,1816,0.049
subclass,141 PH-SUM Foxa1 Glut,1794,0.048
subclass,221 LDT-PCG Vsx2 Lhx4 Glut,1788,0.048
subclass,304 NTS-PARN Neurod2 Gly-Gaba,1787,0.048
subclass,315 DCO UBC Glut,1770,0.047
subclass,195 SNr-VTA Pax5 Npas1 Gaba,1734,0.046
subclass,148 AV Col27a1 Glut,1722,0.046
subclass,250 CBN Neurod2 Pvalb Glut,1714,0.046
subclass,131 LHA-AHN-PVH Otp Trh Glut,1670,0.045
subclass,038 DG-PIR Ex IMN,1648,0.044
subclass,246 CU-ECU-SPVI Foxb1 Glut,1613,0.043
subclass,283 PRP Otp Gly-Gaba,1608,0.043
subclass,175 SC Bnc2 Glut,1602,0.043
subclass,124 MPN-MPO-PVpo Hmx2 Glut,1599,0.043
subclass,162 CUN Evx2 Lhx2 Glut,1585,0.042
subclass,167 PRC-PAG Tcf7l2 Irx2 Glut,1534,0.041
subclass,300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,1525,0.041
subclass,174 PAG Pou4f2 Mesi2 Glut,1489,0.04
subclass,310 CBX Golgi Gly-Gaba,1488,0.04
subclass,138 PH Pitx2 Glut,1487,0.04
subclass,164 APN C1ql4 Glut,1461,0.039
subclass,224 PCG-PRNr Vsx2 Nkx6-1 Glut,1442,0.039
subclass,192 PPN-CUN-PCG Otp En1 Gaba,1422,0.038
subclass,097 PVHd-SBPV Six3 Prox1 Gaba,1397,0.037
subclass,109 LGv-ZI Otx2 Gaba,1388,0.037
subclass,116 AVPV-MEPO-SFO Tbr1 Glut,1377,0.037
subclass,163 APN C1ql2 Glut,1352,0.036
subclass,200 PAG-ND-PCG Onecut1 Gaba,1350,0.036
subclass,126 ARH-PVp Tbx3 Glut,1348,0.036
subclass,233 NLL-SOC Spp1 Glut,1342,0.036
subclass,128 VMH Fezf1 Glut,1334,0.036
subclass,170 PAG-MRN Tfap2b Glut,1310,0.035
subclass,211 SC Tnnt1 Gli3 Gaba,1304,0.035
subclass,043 OB-mi Frmd7 Gaba,1303,0.035
subclass,263 CS-RPO Meis2 Gaba,1299,0.035
subclass,268 CS-PRNr-DR En1 Sox2 Gaba,1291,0.035
subclass,188 SCop Sln Glut,1270,0.034
subclass,100 AHN Onecut3 Gaba,1245,0.033
subclass,248 MV-SPIV Zic4 Neurod2 Glut,1230,0.033
subclass,108 ARH-PVp Tbx3 Gaba,1221,0.033
subclass,161 PAG Pou4f3 Glut,1206,0.032
subclass,147 AD Serpinb7 Glut,1190,0.032
subclass,245 SPVI-SPVC Tlx3 Ebf3 Glut,1189,0.032
subclass,117 LHA Barhl2 Glut,1178,0.031
subclass,196 PAG-PPN Pax5 Sox21 Gaba,1165,0.031
subclass,282 POR Spp1 Gly-Gaba,1164,0.031
subclass,088 BST Tac2 Gaba,1156,0.031
subclass,199 PAG-MRN-RN Foxa2 Gaba,1153,0.031
subclass,293 PAS-MV Ebf2 Gly-Gaba,1131,0.03
subclass,065 IA Mgp Gaba,1121,0.03
subclass,165 PAG-MRN Pou3f1 Glut,1119,0.03
subclass,059 GPe-SI Sox6 Cyp26b1 Gaba,1105,0.03
subclass,115 MS-SF Bsx Glut,1076,0.029
subclass,146 LH Pou4f1 Sox1 Glut,1067,0.029
subclass,103 PVHd-DMH Lhx6 Gaba,1060,0.028
subclass,143 MM-ant Foxb1 Glut,1035,0.028
subclass,171 PAG Pou4f1 Bnc2 Glut,1030,0.028
subclass,160 PAG-SC Neurod2 Meis2 Glut,1011,0.027
subclass,136 PMv-TMv Pitx2 Glut,1005,0.027
subclass,185 SCig Tfap2b Chrnb3 Glut,983,0.026
subclass,067 LSX Sall3 Pax6 Gaba,981,0.026
subclass,305 SPVI-SPVC Sall3 Nfib Gly-Gaba,980,0.026
subclass,118 ADP-MPO Trp73 Glut,974,0.026
subclass,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,969,0.026
subclass,194 MRN-VTN-PPN Pax5 Cdh23 Gaba,950,0.025
subclass,251 NTS Dbh Glut,937,0.025
subclass,267 CS-PRNr-PCG Tmem163 Otp Gaba,931,0.025
subclass,237 PRP-NI-PRNc-GRN Otp Glut,920,0.025
subclass,179 SCdg-PAG Tfap2b Glut,916,0.024
subclass,270 LDT-DTN Gata3 Nfix Gaba,856,0.023
subclass,139 PH-LHA Foxb1 Glut,847,0.023
subclass,099 SBPV-PVa Six6 Satb2 Gaba,828,0.022
subclass,272 LDT-PCG-CS Gata3 Lhx1 Gaba,825,0.022
subclass,273 PDTg-PCG Pax6 Gaba,812,0.022
subclass,153 MG-POL-SGN Nts Glut,810,0.022
subclass,159 IF-RL-CLI-PAG Foxa1 Glut,797,0.021
subclass,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,790,0.021
subclass,155 PRC-PAG Pax6 Glut,785,0.021
subclass,229 PB-NTS Phox2b Ebf3 Lmx1b Glut,772,0.021
subclass,075 MEA-BST Lhx6 Nr2e1 Gaba,764,0.02
subclass,034 NP PPP Glut,741,0.02
subclass,295 CBN Dmbx1 Gaba,717,0.019
subclass,140 PMd-LHA Foxb1 Glut,707,0.019
subclass,292 MV Nkx6-1 Gly-Gaba,678,0.018
subclass,125 DMH Hmx2 Glut,676,0.018
subclass,210 PRT Mecom Gaba,622,0.017
subclass,127 DMH-LHA Vgll2 Glut,611,0.016
subclass,247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,609,0.016
subclass,156 MB-ant-ve Dmrta2 Glut,607,0.016
subclass,281 POR Gata3 Gly-Gaba,602,0.016
subclass,271 NI-RPO Gata3 Nr4a2 Gaba,588,0.016
subclass,214 IPN Otp Crisp1 Gaba,571,0.015
subclass,255 SPVO Mafa Meis2 Glut,568,0.015
subclass,121 MEA-BST Otp Zic2 Glut,561,0.015
subclass,078 SI-MA-ACB Ebf1 Bnc2 Gaba,546,0.015
subclass,220 PB Pax5 Glut,524,0.014
subclass,225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,522,0.014
subclass,130 LHA Pmch Glut,518,0.014
subclass,166 MRN Pou3f1 C1ql4 Glut,505,0.014
subclass,026 NLOT Rho Glut,488,0.013
subclass,024 L5 PPP Glut,476,0.013
subclass,083 CEA-BST Rai14 Pdyn Crh Gaba,473,0.013
subclass,084 BST-SI-AAA Six3 Slc22a3 Gaba,470,0.013
subclass,193 MRN-PPN-CUN Pax8 Gaba,456,0.012
subclass,105 TMd-DMH Foxd2 Gaba,450,0.012
subclass,290 MY Prox1 Lmo7 Gly-Gaba,414,0.011
subclass,294 MV Pax6 Gly-Gaba,399,0.011
subclass,123 DMH Nkx2-4 Glut,398,0.011
subclass,296 RPA Pax6 Hoxb5 Gly-Gaba,396,0.011
subclass,252 DMX VII Tbx20 Chol,394,0.011
subclass,231 IPN-LDT Vsx2 Nkx6-1 Glut,383,0.01
subclass,092 TMv-PMv Tbx3 Hist-Gaba,380,0.01
subclass,286 PPY-PGRNl Vip Glyc-Gaba,380,0.01
subclass,190 ND-INC Foxd2 Glut,379,0.01
subclass,186 SCop Pou4f2 Neurod2 Glut,378,0.01
subclass,204 SC Otx2 Gcnt4 Gaba,378,0.01
subclass,338 Lymphoid NN,373,0.01
subclass,276 LDT-PCG St18 Gaba,370,0.01
subclass,303 IRN Dmbx1 Pax2 Gly-Gaba,358,0.01
subclass,122 LHA-MEA Otp Glut,353,0.009
subclass,226 PRNc-PARN Tlx1 Glut,347,0.009
subclass,157 RN Spp1 Glut,340,0.009
subclass,265 PB Sst Gly-Gaba,335,0.009
subclass,095 DMH Prdm13 Gaba,317,0.008
subclass,299 MARN-PPY Ngfr Gly-Gaba,315,0.008
subclass,120 MEA Otp Foxp2 Glut,308,0.008
subclass,223 B-PB Nr4a2 Glut,302,0.008
subclass,183 PBG Mtnr1a Glut-Chol,293,0.008
subclass,137 PH-an Pitx2 Glut,284,0.008
subclass,230 PRNr Otp Nfib Glut,281,0.008
subclass,110 BST-po Iigp1 Glut,273,0.007
subclass,244 MV-SPIV Slc6a2 Glut,265,0.007
subclass,324 Hypendymal NN,257,0.007
subclass,178 SCig Foxb1 Otx2 Glut,254,0.007
subclass,280 NLL-po Pax7 Gaba,244,0.007
subclass,279 PSV Pax2 Gly-Gaba,240,0.006
subclass,232 LDT Vsx2 Nkx6-1 Nfib Glut,237,0.006
subclass,298 PRP Gata3 Slc6a5 Gly-Gaba,218,0.006
subclass,288 MDRN Hoxb5 Ebf2 Gly-Gaba,200,0.005
subclass,091 ARH-PVi Six6 Dopa-Gaba,195,0.005
subclass,266 PRNc Prox1 Brs3 Gly-Gaba,179,0.005
subclass,218 PSV Lmx1a Trpv6 Glut,177,0.005
subclass,077 CEA-BST Gal Avp Gaba,168,0.004
subclass,337 DC NN,164,0.004
subclass,158 MRN-PAG Nkx6-1 Glut,154,0.004
subclass,275 PDTg Otp Olig3 Gaba,152,0.004
subclass,256 SPVC Mafa Glut,151,0.004
subclass,234 MEV Ppp1r1c Glut,151,0.004
subclass,302 MV Xdh Gly-Gaba,126,0.003
subclass,219 PB-SUT Tlx3 Lhx2 Glut,125,0.003
subclass,227 PB-PSV Phox2b Glut,123,0.003
subclass,242 PGRNd Dmbx1 Glut,115,0.003
subclass,269 LDT Fgf7 Gaba,112,0.003
subclass,236 IRN Vip Glut,94,0.003
subclass,259 MDRNd Bves Glut,89,0.002
subclass,291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,89,0.002
subclass,191 PAG-MRN Rln3 Gaba,87,0.002
subclass,189 PAG Ucn Glut,76,0.002
subclass,239 MARN-GRN Pyy Glut,62,0.002
subclass,112 GPi Tbr1 Cngb3 Gaba-Glut,60,0.002
subclass,142 HY Gnrh1 Glut,57,0.002
subclass,301 MV Nr4a2 Gly-Gaba,56,0.001
subclass,184 PAG Tcf24 Glut,56,0.001
subclass,274 PDTg Otp Shroom3 Gaba,51,0.001
subclass,096 PVHd Gsc Gaba,49,0.001
subclass,241 NTS Mbnl3 Glut,40,0.001
subclass,336 Monocytes NN,32,0.001
subclass,297 CU-ECU Pax2 Gly-Gaba,31,0.001
subclass,284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba,25,0.001
subclass,262 Pineal Crx Glut,21,0.001
subclass,257 SPVC Ccdc172 Glut,21,0.001
subclass,307 RO-RPA Pkd2l1 Gaba,20,0.001
subclass,260 MDRNv Crp Glut,15,0.0
subclass,240 MDRNv Lhx4 Qrfprl Glut,12,0.0
subclass,289 MDRNd Prox1 Pax6 Gly-Gaba,12,0.0
subclass,258 SPVC Nmu Glut,12,0.0
subclass,249 NTS Aldh1a2 Glut,2,0.0
supertype,1184 MOL NN_4,450146,12.036
supertype,1193 Endo NN_1,263210,7.038
supertype,1155 CB Granule Glut_2,174857,4.675
supertype,1163 Astro-TE NN_3,173936,4.651
supertype,1160 Astro-NT NN_2,132705,3.548
supertype,1161 Astro-TE NN_1,113780,3.042
supertype,0030 L2/3 IT CTX Glut_2,79883,2.136
supertype,0024 L4/5 IT CTX Glut_2,72967,1.951
supertype,0277 STR D2 Gaba_4,69731,1.864
supertype,1149 CBX MLI Megf11 Gaba_1,66812,1.786
supertype,1159 Astro-NT NN_1,59961,1.603
supertype,1187 VLMC NN_1,53602,1.433
supertype,1180 OPC NN_2,51715,1.383
supertype,0267 STR D1 Gaba_3,48856,1.306
supertype,1194 Microglia NN_1,48745,1.303
supertype,1191 Peri NN_1,46134,1.234
supertype,0114 L6 CT CTX Glut_1,45284,1.211
supertype,0115 L6 CT CTX Glut_2,40751,1.09
supertype,0014 L6 IT CTX Glut_2,37126,0.993
supertype,1157 Bergmann NN_1,29613,0.792
supertype,1178 CHOR NN_1,27335,0.731
supertype,1175 Ependymal NN_1,26948,0.721
supertype,1192 SMC NN_1,26699,0.714
supertype,0023 L4/5 IT CTX Glut_1,25858,0.691
supertype,0275 STR D2 Gaba_2,24462,0.654
supertype,0032 L2/3 IT CTX Glut_4,23860,0.638
supertype,0268 STR D1 Gaba_4,22124,0.592
supertype,0137 DG Glut_2,21781,0.582
supertype,1186 ABC NN_1,19081,0.51
supertype,0150 OB-in Frmd7 Gaba_1,17779,0.475
supertype,1151 CBX MLI Cdh22 Gaba_1,17455,0.467
supertype,0654 TH Prkcd Grin2c Glut_1,17364,0.464
supertype,0151 OB-in Frmd7 Gaba_2,17265,0.462
supertype,0270 STR D1 Gaba_6,16649,0.445
supertype,0091 L5 ET CTX Glut_2,16101,0.431
supertype,0207 Pvalb Gaba_3,15544,0.416
supertype,0027 L4/5 IT CTX Glut_5,15378,0.411
supertype,1153 CBX Purkinje Gaba_2,15123,0.404
supertype,0028 L4/5 IT CTX Glut_6,15060,0.403
supertype,1188 VLMC NN_2,15034,0.402
supertype,0026 L4/5 IT CTX Glut_4,14307,0.383
supertype,0199 Lamp5 Gaba_1,14162,0.379
supertype,0953 PG-TRN-LRN Fat2 Glut_1,13679,0.366
supertype,0770 IC Tfap2d Maf Glut_1,13633,0.365
supertype,0118 L6 CT CTX Glut_5,13503,0.361
supertype,0069 CA1-ProS Glut_1,13245,0.354
supertype,0041 L2/3 IT PIR-ENTl Glut_3,13057,0.349
supertype,0040 L2/3 IT PIR-ENTl Glut_2,13013,0.348
supertype,0001 CLA-EPd-CTX Car3 Glut_1,12486,0.334
supertype,0042 L2/3 IT PIR-ENTl Glut_4,12221,0.327
supertype,1181 COP NN_1,12207,0.326
supertype,0208 Pvalb Gaba_4,12036,0.322
supertype,0025 L4/5 IT CTX Glut_3,11970,0.32
supertype,0090 L5 ET CTX Glut_1,11487,0.307
supertype,0050 IT AON-TT-DP Glut_5,11421,0.305
supertype,0772 IC Tfap2d Maf Glut_3,11398,0.305
supertype,0020 L5 IT CTX Glut_3,10611,0.284
supertype,1179 OPC NN_1,10353,0.277
supertype,0019 L5 IT CTX Glut_2,10237,0.274
supertype,0036 L2/3 IT ENT Glut_4,10208,0.273
supertype,0088 L2/3 IT RSP Glut_2,10135,0.271
supertype,0031 L2/3 IT CTX Glut_3,9781,0.262
supertype,1150 CBX MLI Megf11 Gaba_2,9358,0.25
supertype,1185 OEC NN_1,9257,0.248
supertype,1154 CB Granule Glut_1,9171,0.245
supertype,0139 DG Glut_4,9122,0.244
supertype,0158 OB-out Frmd7 Gaba_1,9035,0.242
supertype,0039 L2/3 IT PIR-ENTl Glut_1,8909,0.238
supertype,1183 MFOL NN_3,8758,0.234
supertype,0029 L2/3 IT CTX Glut_1,8260,0.221
supertype,0015 L6 IT CTX Glut_3,8214,0.22
supertype,0272 STR D1 Gaba_8,7408,0.198
supertype,0085 L2/3 IT PPP Glut_2,7292,0.195
supertype,0110 L6b CTX Glut_1,7152,0.191
supertype,0264 OT D3 Folh1 Gaba_3,7108,0.19
supertype,0979 PGRN-PARN-MDRN Hoxb5 Glut_7,7018,0.188
supertype,0124 L5 NP CTX Glut_3,6529,0.175
supertype,0109 L6b/CT ENT Glut_4,6277,0.168
supertype,0003 IT EP-CLA Glut_1,6263,0.167
supertype,0106 L6b/CT ENT Glut_1,6228,0.167
supertype,0123 L5 NP CTX Glut_2,6225,0.166
supertype,0111 L6b CTX Glut_2,5956,0.159
supertype,0046 IT AON-TT-DP Glut_1,5905,0.158
supertype,0077 CA3 Glut_3,5733,0.153
supertype,0021 L5 IT CTX Glut_4,5726,0.153
supertype,0078 CA3 Glut_4,5709,0.153
supertype,1182 NFOL NN_2,5708,0.153
supertype,0435 RT-ZI Gnb3 Gaba_5,5490,0.147
supertype,0265 STR D1 Gaba_1,5484,0.147
supertype,0116 L6 CT CTX Glut_3,5415,0.145
supertype,0659 TH Prkcd Grin2c Glut_6,5135,0.137
supertype,0059 COAp Grxcr2 Glut_2,5021,0.134
supertype,0212 Pvalb Gaba_8,4981,0.133
supertype,0007 L5/6 IT TPE-ENT Glut_1,4947,0.132
supertype,0807 IC Six3 En2 Gaba_1,4937,0.132
supertype,0008 L5/6 IT TPE-ENT Glut_2,4901,0.131
supertype,0166 OB-STR-CTX Inh IMN_1,4867,0.13
supertype,1169 Astroependymal NN_1,4842,0.129
supertype,0086 L2/3 IT PPP Glut_3,4834,0.129
supertype,0017 L6 IT CTX Glut_5,4805,0.128
supertype,0262 OT D3 Folh1 Gaba_1,4784,0.128
supertype,1089 MY Lhx1 Gly-Gaba_1,4675,0.125
supertype,0287 STR-PAL Chst9 Gaba_3,4627,0.124
supertype,0162 OB Dopa-Gaba_1,4599,0.123
supertype,0013 L6 IT CTX Glut_1,4570,0.122
supertype,0278 STR D2 Gaba_5,4569,0.122
supertype,0087 L2/3 IT RSP Glut_1,4438,0.119
supertype,0070 CA1-ProS Glut_2,4237,0.113
supertype,1165 Astro-TE NN_5,4139,0.111
supertype,0266 STR D1 Gaba_2,4019,0.107
supertype,0217 Sst Gaba_4,4014,0.107
supertype,0072 CA1-ProS Glut_4,3892,0.104
supertype,0112 L6b CTX Glut_3,3829,0.102
supertype,0047 IT AON-TT-DP Glut_2,3808,0.102
supertype,0048 IT AON-TT-DP Glut_3,3706,0.099
supertype,0220 Sst Gaba_7,3699,0.099
