ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float
MBA:1009	owl:NamedIndividual	MBA:286	228125.007	25.000	1910.331
MBA:286	owl:NamedIndividual	MBA:1009	228125.007	25.000	1910.331
MBA:1009	owl:NamedIndividual	MBA:287	126875.004	25.000	1447.164
MBA:287	owl:NamedIndividual	MBA:1009	126875.004	25.000	1447.164
MBA:1009	owl:NamedIndividual	MBA:301	4885000.146	25.000	813.148
MBA:301	owl:NamedIndividual	MBA:1009	4885000.146	25.000	813.148
MBA:1009	owl:NamedIndividual	MBA:303	51875.002	25.000	630.019
MBA:303	owl:NamedIndividual	MBA:1009	51875.002	25.000	630.019
MBA:1009	owl:NamedIndividual	MBA:310	9375.000	25.000	2092.506
MBA:310	owl:NamedIndividual	MBA:1009	9375.000	25.000	2092.506
MBA:1009	owl:NamedIndividual	MBA:313	846250.025	25.000	2442.213
MBA:313	owl:NamedIndividual	MBA:1009	846250.025	25.000	2442.213
MBA:1009	owl:NamedIndividual	MBA:321	373125.011	25.000	1035.486
MBA:321	owl:NamedIndividual	MBA:1009	373125.011	25.000	1035.486
MBA:1009	owl:NamedIndividual	MBA:334	39375.001	25.000	1184.188
MBA:334	owl:NamedIndividual	MBA:1009	39375.001	25.000	1184.188
MBA:1009	owl:NamedIndividual	MBA:351	580625.017	25.000	1500.263
MBA:351	owl:NamedIndividual	MBA:1009	580625.017	25.000	1500.263
MBA:1009	owl:NamedIndividual	MBA:364	126875.004	25.000	768.941
MBA:364	owl:NamedIndividual	MBA:1009	126875.004	25.000	768.941
MBA:1009	owl:NamedIndividual	MBA:390	610000.018	25.000	1819.406
MBA:390	owl:NamedIndividual	MBA:1009	610000.018	25.000	1819.406
MBA:1009	owl:NamedIndividual	MBA:403	1128750.034	25.000	1155.606
MBA:403	owl:NamedIndividual	MBA:1009	1128750.034	25.000	1155.606
MBA:1009	owl:NamedIndividual	MBA:428	194375.006	25.000	1369.262
MBA:428	owl:NamedIndividual	MBA:1009	194375.006	25.000	1369.262
MBA:1009	owl:NamedIndividual	MBA:436	1163750.035	25.000	925.580
MBA:436	owl:NamedIndividual	MBA:1009	1163750.035	25.000	925.580
MBA:1009	owl:NamedIndividual	MBA:452	332500.010	25.000	1740.136
MBA:452	owl:NamedIndividual	MBA:1009	332500.010	25.000	1740.136
MBA:1009	owl:NamedIndividual	MBA:466	3914375.117	25.000	2118.135
MBA:466	owl:NamedIndividual	MBA:1009	3914375.117	25.000	2118.135
MBA:1009	owl:NamedIndividual	MBA:470	1778750.053	25.000	486.739
MBA:470	owl:NamedIndividual	MBA:1009	1778750.053	25.000	486.739
MBA:1009	owl:NamedIndividual	MBA:477	2464375.073	25.000	1579.973
MBA:477	owl:NamedIndividual	MBA:1009	2464375.073	25.000	1579.973
MBA:1009	owl:NamedIndividual	MBA:484682520	1563750.047	25.000	1616.726
MBA:484682520	owl:NamedIndividual	MBA:1009	1563750.047	25.000	1616.726
MBA:1009	owl:NamedIndividual	MBA:484682524	244375.007	25.000	1418.949
MBA:484682524	owl:NamedIndividual	MBA:1009	244375.007	25.000	1418.949
MBA:1009	owl:NamedIndividual	MBA:486	50000.001	25.000	1621.429
MBA:486	owl:NamedIndividual	MBA:1009	50000.001	25.000	1621.429
MBA:1009	owl:NamedIndividual	MBA:496345664	1565625.047	25.000	2184.715
MBA:496345664	owl:NamedIndividual	MBA:1009	1565625.047	25.000	2184.715
MBA:1009	owl:NamedIndividual	MBA:496345668	207500.006	25.000	2034.140
MBA:496345668	owl:NamedIndividual	MBA:1009	207500.006	25.000	2034.140
MBA:1009	owl:NamedIndividual	MBA:549	1586875.047	25.000	989.645
MBA:549	owl:NamedIndividual	MBA:1009	1586875.047	25.000	989.645
MBA:1009	owl:NamedIndividual	MBA:564	1250.000	25.000	2104.772
MBA:564	owl:NamedIndividual	MBA:1009	1250.000	25.000	2104.772
