ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:824	9779	65	410	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:830	9779	130	200	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:832	9779	7	93	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:840	9779	65	360	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:843	9779	14	27	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:848	9779	59	158	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:863	9779	24	88	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:867	9779	55	86	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:872	9779	20	50	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:874	9779	2	5	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:877	9779	7	77	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:879	9779	22	30	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:88	9779	12	54	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:880	9779	45	78	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:886	9779	14	37	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:894	9779	24	42	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:895	9779	13	19	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:898	9779	261	502	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:91	9779	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:911	9779	0	7	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:914	9779	3	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:918	9779	116	154	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:920	9779	16	43	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:922	9779	5	21	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:926	9779	87	109	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:931	9779	46	84	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:933	9779	10	57	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:946	9779	102	194	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:952	9779	31	69	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:96	9779	6	19	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:961	9779	109	153	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:966	9779	14	29	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:968	9779	1	11	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:970	9779	0	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:972	9779	32	50	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:975	9779	5	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:980	9779	0	15	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:982	9779	8	22	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:985	9779	98	135	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:993	9779	116	160	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:998	9779	3	13	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:10	9779	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1010	9779	3	7	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1015	9779	5	17	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1016	9779	42	171	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:102	9779	8	26	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1021	9779	30	61	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1023	9779	6	11	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
