ID	Type	cell_count
ID	TYPE	A PCL:0010060^^xsd:integer
WMB:CS20230722_SUBC_051	owl:NamedIndividual	2014
WMB:CS20230722_SUBC_201	owl:NamedIndividual	2011
WMB:CS20230722_SUBC_094	owl:NamedIndividual	2008
WMB:CS20230722_SUBC_172	owl:NamedIndividual	1996
WMB:CS20230722_SUBC_177	owl:NamedIndividual	1978
WMB:CS20230722_SUBC_206	owl:NamedIndividual	1976
WMB:CS20230722_SUBC_134	owl:NamedIndividual	1957
WMB:CS20230722_SUBC_036	owl:NamedIndividual	1942
WMB:CS20230722_SUBC_212	owl:NamedIndividual	1928
WMB:CS20230722_SUBC_335	owl:NamedIndividual	1897
WMB:CS20230722_SUBC_068	owl:NamedIndividual	1888
WMB:CS20230722_SUBC_322	owl:NamedIndividual	1879
WMB:CS20230722_SUBC_208	owl:NamedIndividual	1870
WMB:CS20230722_SUBC_253	owl:NamedIndividual	1868
WMB:CS20230722_SUBC_025	owl:NamedIndividual	1860
WMB:CS20230722_SUBC_261	owl:NamedIndividual	1816
WMB:CS20230722_SUBC_141	owl:NamedIndividual	1794
WMB:CS20230722_SUBC_221	owl:NamedIndividual	1788
WMB:CS20230722_SUBC_304	owl:NamedIndividual	1787
WMB:CS20230722_SUBC_315	owl:NamedIndividual	1770
WMB:CS20230722_SUBC_195	owl:NamedIndividual	1734
WMB:CS20230722_SUBC_148	owl:NamedIndividual	1722
WMB:CS20230722_SUBC_250	owl:NamedIndividual	1714
WMB:CS20230722_SUBC_131	owl:NamedIndividual	1670
WMB:CS20230722_SUBC_038	owl:NamedIndividual	1648
WMB:CS20230722_SUBC_246	owl:NamedIndividual	1613
WMB:CS20230722_SUBC_283	owl:NamedIndividual	1608
WMB:CS20230722_SUBC_175	owl:NamedIndividual	1602
WMB:CS20230722_SUBC_124	owl:NamedIndividual	1599
WMB:CS20230722_SUBC_162	owl:NamedIndividual	1585
WMB:CS20230722_SUBC_167	owl:NamedIndividual	1534
WMB:CS20230722_SUBC_300	owl:NamedIndividual	1525
WMB:CS20230722_SUBC_174	owl:NamedIndividual	1489
WMB:CS20230722_SUBC_310	owl:NamedIndividual	1488
WMB:CS20230722_SUBC_138	owl:NamedIndividual	1487
WMB:CS20230722_SUBC_164	owl:NamedIndividual	1461
WMB:CS20230722_SUBC_224	owl:NamedIndividual	1442
WMB:CS20230722_SUBC_192	owl:NamedIndividual	1422
WMB:CS20230722_SUBC_097	owl:NamedIndividual	1397
WMB:CS20230722_SUBC_109	owl:NamedIndividual	1388
WMB:CS20230722_SUBC_116	owl:NamedIndividual	1377
WMB:CS20230722_SUBC_163	owl:NamedIndividual	1352
WMB:CS20230722_SUBC_200	owl:NamedIndividual	1350
WMB:CS20230722_SUBC_126	owl:NamedIndividual	1348
WMB:CS20230722_SUBC_233	owl:NamedIndividual	1342
WMB:CS20230722_SUBC_128	owl:NamedIndividual	1334
WMB:CS20230722_SUBC_170	owl:NamedIndividual	1310
WMB:CS20230722_SUBC_211	owl:NamedIndividual	1304
WMB:CS20230722_SUBC_043	owl:NamedIndividual	1303
WMB:CS20230722_SUBC_263	owl:NamedIndividual	1299
WMB:CS20230722_SUBC_268	owl:NamedIndividual	1291
WMB:CS20230722_SUBC_188	owl:NamedIndividual	1270
WMB:CS20230722_SUBC_100	owl:NamedIndividual	1245
WMB:CS20230722_SUBC_248	owl:NamedIndividual	1230
WMB:CS20230722_SUBC_108	owl:NamedIndividual	1221
WMB:CS20230722_SUBC_161	owl:NamedIndividual	1206
WMB:CS20230722_SUBC_147	owl:NamedIndividual	1190
WMB:CS20230722_SUBC_245	owl:NamedIndividual	1189
WMB:CS20230722_SUBC_117	owl:NamedIndividual	1178
WMB:CS20230722_SUBC_196	owl:NamedIndividual	1165
WMB:CS20230722_SUBC_282	owl:NamedIndividual	1164
WMB:CS20230722_SUBC_088	owl:NamedIndividual	1156
WMB:CS20230722_SUBC_199	owl:NamedIndividual	1153
WMB:CS20230722_SUBC_293	owl:NamedIndividual	1131
WMB:CS20230722_SUBC_065	owl:NamedIndividual	1121
WMB:CS20230722_SUBC_165	owl:NamedIndividual	1119
WMB:CS20230722_SUBC_059	owl:NamedIndividual	1105
WMB:CS20230722_SUBC_115	owl:NamedIndividual	1076
WMB:CS20230722_SUBC_146	owl:NamedIndividual	1067
WMB:CS20230722_SUBC_103	owl:NamedIndividual	1060
WMB:CS20230722_SUBC_143	owl:NamedIndividual	1035
WMB:CS20230722_SUBC_171	owl:NamedIndividual	1030
WMB:CS20230722_SUBC_160	owl:NamedIndividual	1011
WMB:CS20230722_SUBC_136	owl:NamedIndividual	1005
WMB:CS20230722_SUBC_185	owl:NamedIndividual	983
WMB:CS20230722_SUBC_067	owl:NamedIndividual	981
WMB:CS20230722_SUBC_305	owl:NamedIndividual	980
WMB:CS20230722_SUBC_118	owl:NamedIndividual	974
WMB:CS20230722_SUBC_287	owl:NamedIndividual	969
WMB:CS20230722_SUBC_194	owl:NamedIndividual	950
WMB:CS20230722_SUBC_251	owl:NamedIndividual	937
WMB:CS20230722_SUBC_267	owl:NamedIndividual	931
WMB:CS20230722_SUBC_237	owl:NamedIndividual	920
WMB:CS20230722_SUBC_179	owl:NamedIndividual	916
WMB:CS20230722_SUBC_270	owl:NamedIndividual	856
WMB:CS20230722_SUBC_139	owl:NamedIndividual	847
WMB:CS20230722_SUBC_099	owl:NamedIndividual	828
WMB:CS20230722_SUBC_272	owl:NamedIndividual	825
WMB:CS20230722_SUBC_273	owl:NamedIndividual	812
WMB:CS20230722_SUBC_153	owl:NamedIndividual	810
WMB:CS20230722_SUBC_159	owl:NamedIndividual	797
WMB:CS20230722_SUBC_087	owl:NamedIndividual	790
WMB:CS20230722_SUBC_155	owl:NamedIndividual	785
WMB:CS20230722_SUBC_229	owl:NamedIndividual	772
WMB:CS20230722_SUBC_075	owl:NamedIndividual	764
WMB:CS20230722_SUBC_034	owl:NamedIndividual	741
WMB:CS20230722_SUBC_295	owl:NamedIndividual	717
WMB:CS20230722_SUBC_140	owl:NamedIndividual	707
WMB:CS20230722_SUBC_292	owl:NamedIndividual	678
WMB:CS20230722_SUBC_125	owl:NamedIndividual	676
WMB:CS20230722_SUBC_210	owl:NamedIndividual	622
WMB:CS20230722_SUBC_127	owl:NamedIndividual	611
WMB:CS20230722_SUBC_247	owl:NamedIndividual	609
WMB:CS20230722_SUBC_156	owl:NamedIndividual	607
WMB:CS20230722_SUBC_281	owl:NamedIndividual	602
WMB:CS20230722_SUBC_271	owl:NamedIndividual	588
WMB:CS20230722_SUBC_214	owl:NamedIndividual	571
WMB:CS20230722_SUBC_255	owl:NamedIndividual	568
WMB:CS20230722_SUBC_121	owl:NamedIndividual	561
WMB:CS20230722_SUBC_078	owl:NamedIndividual	546
WMB:CS20230722_SUBC_220	owl:NamedIndividual	524
WMB:CS20230722_SUBC_225	owl:NamedIndividual	522
WMB:CS20230722_SUBC_130	owl:NamedIndividual	518
WMB:CS20230722_SUBC_166	owl:NamedIndividual	505
WMB:CS20230722_SUBC_026	owl:NamedIndividual	488
WMB:CS20230722_SUBC_024	owl:NamedIndividual	476
WMB:CS20230722_SUBC_083	owl:NamedIndividual	473
WMB:CS20230722_SUBC_084	owl:NamedIndividual	470
WMB:CS20230722_SUBC_193	owl:NamedIndividual	456
WMB:CS20230722_SUBC_105	owl:NamedIndividual	450
WMB:CS20230722_SUBC_290	owl:NamedIndividual	414
WMB:CS20230722_SUBC_294	owl:NamedIndividual	399
WMB:CS20230722_SUBC_123	owl:NamedIndividual	398
WMB:CS20230722_SUBC_296	owl:NamedIndividual	396
WMB:CS20230722_SUBC_252	owl:NamedIndividual	394
WMB:CS20230722_SUBC_231	owl:NamedIndividual	383
WMB:CS20230722_SUBC_092	owl:NamedIndividual	380
WMB:CS20230722_SUBC_286	owl:NamedIndividual	380
WMB:CS20230722_SUBC_190	owl:NamedIndividual	379
WMB:CS20230722_SUBC_186	owl:NamedIndividual	378
WMB:CS20230722_SUBC_204	owl:NamedIndividual	378
WMB:CS20230722_SUBC_338	owl:NamedIndividual	373
WMB:CS20230722_SUBC_276	owl:NamedIndividual	370
WMB:CS20230722_SUBC_303	owl:NamedIndividual	358
WMB:CS20230722_SUBC_122	owl:NamedIndividual	353
WMB:CS20230722_SUBC_226	owl:NamedIndividual	347
WMB:CS20230722_SUBC_157	owl:NamedIndividual	340
WMB:CS20230722_SUBC_265	owl:NamedIndividual	335
WMB:CS20230722_SUBC_095	owl:NamedIndividual	317
WMB:CS20230722_SUBC_299	owl:NamedIndividual	315
WMB:CS20230722_SUBC_120	owl:NamedIndividual	308
WMB:CS20230722_SUBC_223	owl:NamedIndividual	302
WMB:CS20230722_SUBC_183	owl:NamedIndividual	293
WMB:CS20230722_SUBC_137	owl:NamedIndividual	284
WMB:CS20230722_SUBC_230	owl:NamedIndividual	281
WMB:CS20230722_SUBC_110	owl:NamedIndividual	273
WMB:CS20230722_SUBC_244	owl:NamedIndividual	265
WMB:CS20230722_SUBC_324	owl:NamedIndividual	257
WMB:CS20230722_SUBC_178	owl:NamedIndividual	254
WMB:CS20230722_SUBC_280	owl:NamedIndividual	244
WMB:CS20230722_SUBC_279	owl:NamedIndividual	240
WMB:CS20230722_SUBC_232	owl:NamedIndividual	237
WMB:CS20230722_SUBC_298	owl:NamedIndividual	218
WMB:CS20230722_SUBC_288	owl:NamedIndividual	200
WMB:CS20230722_SUBC_091	owl:NamedIndividual	195
WMB:CS20230722_SUBC_266	owl:NamedIndividual	179
WMB:CS20230722_SUBC_218	owl:NamedIndividual	177
WMB:CS20230722_SUBC_077	owl:NamedIndividual	168
WMB:CS20230722_SUBC_337	owl:NamedIndividual	164
WMB:CS20230722_SUBC_158	owl:NamedIndividual	154
WMB:CS20230722_SUBC_275	owl:NamedIndividual	152
WMB:CS20230722_SUBC_256	owl:NamedIndividual	151
WMB:CS20230722_SUBC_234	owl:NamedIndividual	151
WMB:CS20230722_SUBC_302	owl:NamedIndividual	126
WMB:CS20230722_SUBC_219	owl:NamedIndividual	125
WMB:CS20230722_SUBC_227	owl:NamedIndividual	123
WMB:CS20230722_SUBC_242	owl:NamedIndividual	115
WMB:CS20230722_SUBC_269	owl:NamedIndividual	112
WMB:CS20230722_SUBC_236	owl:NamedIndividual	94
WMB:CS20230722_SUBC_259	owl:NamedIndividual	89
WMB:CS20230722_SUBC_291	owl:NamedIndividual	89
WMB:CS20230722_SUBC_191	owl:NamedIndividual	87
WMB:CS20230722_SUBC_189	owl:NamedIndividual	76
WMB:CS20230722_SUBC_239	owl:NamedIndividual	62
WMB:CS20230722_SUBC_112	owl:NamedIndividual	60
WMB:CS20230722_SUBC_142	owl:NamedIndividual	57
WMB:CS20230722_SUBC_301	owl:NamedIndividual	56
WMB:CS20230722_SUBC_184	owl:NamedIndividual	56
WMB:CS20230722_SUBC_274	owl:NamedIndividual	51
WMB:CS20230722_SUBC_096	owl:NamedIndividual	49
WMB:CS20230722_SUBC_241	owl:NamedIndividual	40
WMB:CS20230722_SUBC_336	owl:NamedIndividual	32
WMB:CS20230722_SUBC_297	owl:NamedIndividual	31
WMB:CS20230722_SUBC_284	owl:NamedIndividual	25
WMB:CS20230722_SUBC_262	owl:NamedIndividual	21
WMB:CS20230722_SUBC_257	owl:NamedIndividual	21
WMB:CS20230722_SUBC_307	owl:NamedIndividual	20
