ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float	>AI n2o:spatialReferenceAtlas
MBA:1009	owl:NamedIndividual	MBA:768	12337500.368	25.000	2161.585	n2o:CCF2020
MBA:768	owl:NamedIndividual	MBA:1009	12337500.368	25.000	2161.585	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:780	218125.007	25.000	1485.128	n2o:CCF2020
MBA:780	owl:NamedIndividual	MBA:1009	218125.007	25.000	1485.128	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:784	9046875.270	25.000	974.224	n2o:CCF2020
MBA:784	owl:NamedIndividual	MBA:1009	9046875.270	25.000	974.224	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:797	521875.016	25.000	567.692	n2o:CCF2020
MBA:797	owl:NamedIndividual	MBA:1009	521875.016	25.000	567.692	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:803	1507500.045	25.000	1012.676	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:1009	1507500.045	25.000	1012.676	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:81	1555625.046	25.000	1998.671	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:1009	1555625.046	25.000	1998.671	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:824	3221875.096	25.000	748.845	n2o:CCF2020
MBA:824	owl:NamedIndividual	MBA:1009	3221875.096	25.000	748.845	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:840	527500.016	25.000	5139.910	n2o:CCF2020
MBA:840	owl:NamedIndividual	MBA:1009	527500.016	25.000	5139.910	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:848	22449375.669	25.000	642.860	n2o:CCF2020
MBA:848	owl:NamedIndividual	MBA:1009	22449375.669	25.000	642.860	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:896	1808125.054	25.000	1365.494	n2o:CCF2020
MBA:896	owl:NamedIndividual	MBA:1009	1808125.054	25.000	1365.494	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:1049	430625.013	25.000	514.010	n2o:CCF2020
MBA:1049	owl:NamedIndividual	MBA:101	430625.013	25.000	514.010	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:108	136250.004	25.000	2465.009	n2o:CCF2020
MBA:108	owl:NamedIndividual	MBA:101	136250.004	25.000	2465.009	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:153	294375.009	25.000	1223.186	n2o:CCF2020
MBA:153	owl:NamedIndividual	MBA:101	294375.009	25.000	1223.186	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:354	6350000.189	25.000	1300.254	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:101	6350000.189	25.000	1300.254	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:512	701250.021	25.000	1447.062	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:101	701250.021	25.000	1447.062	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:7	8750.000	25.000	468.796	n2o:CCF2020
MBA:7	owl:NamedIndividual	MBA:101	8750.000	25.000	468.796	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:728	82500.002	25.000	2353.439	n2o:CCF2020
