ID	Type	n2o:paintedIn	atlas_level
MBA:220	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:223	owl:NamedIndividual	n2o:CCF2020	structure
MBA:225	owl:NamedIndividual	n2o:CCF2020	structure
MBA:226	owl:NamedIndividual	n2o:CCF2020	structure
MBA:228	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:229	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:23	owl:NamedIndividual	n2o:CCF2020	structure
MBA:231	owl:NamedIndividual	n2o:CCF2020	structure
MBA:234	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:235	owl:NamedIndividual	n2o:CCF2020	structure
MBA:236	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:238	owl:NamedIndividual	n2o:CCF2020	structure
MBA:244	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:246	owl:NamedIndividual	n2o:CCF2020	structure
MBA:250	owl:NamedIndividual	n2o:CCF2020	structure
MBA:251	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:255	owl:NamedIndividual	n2o:CCF2020	structure
MBA:258	owl:NamedIndividual	n2o:CCF2020	structure
MBA:26	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:262	owl:NamedIndividual	n2o:CCF2020	structure
MBA:263	owl:NamedIndividual	n2o:CCF2020	structure
MBA:266	owl:NamedIndividual	n2o:CCF2020	structure
MBA:268	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:269	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:27	owl:NamedIndividual	n2o:CCF2020	structure
MBA:271	owl:NamedIndividual	n2o:CCF2020	structure
MBA:272	owl:NamedIndividual	n2o:CCF2020	structure
MBA:274	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:28	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:280	owl:NamedIndividual	n2o:CCF2020	structure
MBA:281	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:286	owl:NamedIndividual	n2o:CCF2020	structure
MBA:288	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:289	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:294	owl:NamedIndividual	n2o:CCF2020	structure
MBA:295	owl:NamedIndividual	n2o:CCF2020	structure
MBA:296	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:298	owl:NamedIndividual	n2o:CCF2020	structure
MBA:30	owl:NamedIndividual	n2o:CCF2020	structure
MBA:301	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:302	owl:NamedIndividual	n2o:CCF2020	structure
MBA:303	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:304	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:307	owl:NamedIndividual	n2o:CCF2020	structure
MBA:310	owl:NamedIndividual	n2o:CCF2020	structure
MBA:311	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:312782628	owl:NamedIndividual	n2o:CCF2020	structure
MBA:312782632	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:312782636	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:312782644	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:312782648	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:312782652	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:313	owl:NamedIndividual	n2o:CCF2020	division
MBA:314	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:315	owl:NamedIndividual	n2o:CCF2020	division
MBA:318	owl:NamedIndividual	n2o:CCF2020	structure
MBA:319	owl:NamedIndividual	n2o:CCF2020	structure
MBA:321	owl:NamedIndividual	n2o:CCF2020	structure
MBA:325	owl:NamedIndividual	n2o:CCF2020	structure
MBA:326	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:327	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:328	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:329	owl:NamedIndividual	n2o:CCF2020	structure
MBA:33	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:333	owl:NamedIndividual	n2o:CCF2020	structure
MBA:334	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:336	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:337	owl:NamedIndividual	n2o:CCF2020	structure
MBA:338	owl:NamedIndividual	n2o:CCF2020	structure
MBA:342	owl:NamedIndividual	n2o:CCF2020	structure
MBA:345	owl:NamedIndividual	n2o:CCF2020	structure
MBA:347	owl:NamedIndividual	n2o:CCF2020	structure
MBA:35	owl:NamedIndividual	n2o:CCF2020	structure
MBA:351	owl:NamedIndividual	n2o:CCF2020	structure
MBA:354	owl:NamedIndividual	n2o:CCF2020	division
MBA:358	owl:NamedIndividual	n2o:CCF2020	structure
MBA:362	owl:NamedIndividual	n2o:CCF2020	structure
MBA:363	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:364	owl:NamedIndividual	n2o:CCF2020	structure
MBA:366	owl:NamedIndividual	n2o:CCF2020	structure
MBA:369	owl:NamedIndividual	n2o:CCF2020	structure
MBA:374	owl:NamedIndividual	n2o:CCF2020	structure
MBA:378	owl:NamedIndividual	n2o:CCF2020	structure
MBA:38	owl:NamedIndividual	n2o:CCF2020	structure
MBA:381	owl:NamedIndividual	n2o:CCF2020	structure
MBA:382	owl:NamedIndividual	n2o:CCF2020	structure
MBA:385	owl:NamedIndividual	n2o:CCF2020	structure
MBA:39	owl:NamedIndividual	n2o:CCF2020	structure
MBA:391	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:394	owl:NamedIndividual	n2o:CCF2020	structure
MBA:395	owl:NamedIndividual	n2o:CCF2020	structure
MBA:397	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:398	owl:NamedIndividual	n2o:CCF2020	structure
MBA:399	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:4	owl:NamedIndividual	n2o:CCF2020	structure
MBA:401	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:403	owl:NamedIndividual	n2o:CCF2020	structure
MBA:407	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:409	owl:NamedIndividual	n2o:CCF2020	structure
MBA:41	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:412	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:413	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:414	owl:NamedIndividual	n2o:CCF2020	structure
MBA:415	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:42	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:422	owl:NamedIndividual	n2o:CCF2020	structure
MBA:423	owl:NamedIndividual	n2o:CCF2020	structure
MBA:425	owl:NamedIndividual	n2o:CCF2020	structure
MBA:427	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:430	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:431	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:433	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:434	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:436	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:437	owl:NamedIndividual	n2o:CCF2020	structure
MBA:438	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:44	owl:NamedIndividual	n2o:CCF2020	structure
MBA:440	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:441	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:442	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:443	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:445	owl:NamedIndividual	n2o:CCF2020	structure
MBA:446	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:449	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:451	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:452	owl:NamedIndividual	n2o:CCF2020	structure
MBA:454	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:463	owl:NamedIndividual	n2o:CCF2020	structure
MBA:466	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:470	owl:NamedIndividual	n2o:CCF2020	structure
MBA:471	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:475	owl:NamedIndividual	n2o:CCF2020	structure
MBA:477	owl:NamedIndividual	n2o:CCF2020	division
MBA:479	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:48	owl:NamedIndividual	n2o:CCF2020	structure
MBA:482	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:483	owl:NamedIndividual	n2o:CCF2020	structure
MBA:484682470	owl:NamedIndividual	n2o:CCF2020	structure
MBA:484682508	owl:NamedIndividual	n2o:CCF2020	structure
MBA:484682512	owl:NamedIndividual	n2o:CCF2020	division
MBA:484682516	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:484682524	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:486	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:491	owl:NamedIndividual	n2o:CCF2020	structure
MBA:495	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:496345664	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:496345668	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:496345672	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:50	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:502	owl:NamedIndividual	n2o:CCF2020	structure
MBA:504	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:506	owl:NamedIndividual	n2o:CCF2020	substructure
