ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:108	33	0.003841	651		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:128	47	0.005470	112		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:136	184	0.021415	373		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:149	0	0.000000	233		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:162	52	0.006052	85		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:186	2	0.000233	553		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:194	37	0.004306	66		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:202	65	0.007565	157		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:223	156	0.018156	199		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:226	28	0.003259	86		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:23	63	0.007332	127		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:258	116	0.013501	237		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:266	21	0.002444	68		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:271	7	0.000815	59		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:298	123	0.014316	237		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:342	375	0.043645	667		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:35	29	0.003375	66		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:362	0	0.000000	46		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:398	48	0.005587	53		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:445	14	0.001629	50		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:483	2120	0.246741	2230		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:523	9	0.001047	52		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:534	49	0.005703	122		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:536	24	0.002793	58		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:549009215	78	0.009078	205		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:549009223	6	0.000698	56		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:549009227	22	0.002561	102		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:56	278	0.032356	415		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:564	163	0.018971	250		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:596	311	0.036196	453		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:616	26	0.003026	47		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:621	391	0.045507	552		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:651	147	0.017109	272		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:661	607	0.070647	753		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:672	686	0.079842	828		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:693	30	0.003492	105		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:752	14	0.001629	106		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
