ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:893	223	0.011739	1795		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:954	126	0.006633	368		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:956	145	0.007633	1585		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:964	73	0.003843	699		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:977	513	0.027006	1001		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:986	22	0.001158	215		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:988	290	0.015266	855		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:1089	689	0.085452	1189		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:315	1181	0.146472	2337		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:477	89	0.011038	934		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:698	1390	0.172392	2990		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:703	4245	0.526479	6231		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:81	5	0.000620	83		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:983	282	0.034975	2418		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:991	165	0.020464	1190		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:1009	458	0.056803	3246	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:1080	12	0.001488	137	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:1099	24	0.002977	258	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:375	12	0.001488	137	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:485	85	0.010542	788	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:567	7594	0.941833	8063	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:623	89	0.011038	934	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:688	7505	0.930795	8050	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:695	3260	0.404316	5670	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:714	68	0.008434	147	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:73	5	0.000620	83	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:8	7594	0.941833	8063	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:822	677	0.083964	1136	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:909	674	0.083592	1128	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:942	3412	0.423168	5486	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:95	719	0.089173	1805	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:997	8057	0.999256	8063	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:104	94	0.011658	312		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:1057	84	0.010418	162		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:111	442	0.054818	1022		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:119	183	0.022696	646		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:131	184	0.022820	679		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:159	99	0.012278	123		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:295	11	0.001364	181		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:319	113	0.014015	178		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:382	12	0.001488	136		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:583	383	0.047501	859		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:672	85	0.010542	788		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:723	40	0.004961	125		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:768	165	0.020464	1190		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:776	281	0.034851	2418		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:918	668	0.082848	1116		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:952	3069	0.380628	4950		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:961	663	0.082227	1834		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:966	343	0.042540	748		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:139	224	0.027781	730		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:28	444	0.055066	1086		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:303	7	0.000868	131		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:314	352	0.043656	949		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:327	113	0.014015	178		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:344	76	0.009426	305		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:399	12	0.001488	136		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:466	24	0.002977	258		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:630	37	0.004589	117		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:638	67	0.008310	156		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:662	11	0.001364	89		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:675	151	0.018728	599		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:783	71	0.008806	303		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:800	32	0.003969	231		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:884	141	0.017487	933		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:956	141	0.017487	1460		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_002	owl:NamedIndividual	MBA:964	130	0.016123	929		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:1089	1803	0.678840	1966		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:315	783	0.294804	882		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:698	41	0.015437	98		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:703	18	0.006777	95		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:983	8	0.003012	148		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:991	2	0.000753	66		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:1009	10	0.003765	187	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:1099	2	0.000753	59	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:567	2645	0.995858	2656	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
