cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0060 L5 IT CTX Glut_2,0,0,0,9,0,7672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0061 L5 IT CTX Glut_3,0,0,0,0,0,9755,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0062 L5 IT CTX Glut_3,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0063 L5 IT CTX Glut_4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0064 L5 IT CTX Glut_4,0,0,0,2,0,2534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0065 L5 IT CTX Glut_5,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0066 L4/5 IT CTX Glut_1,0,0,0,1,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0067 L4/5 IT CTX Glut_1,0,0,0,2,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0068 L4/5 IT CTX Glut_1,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0069 L4/5 IT CTX Glut_1,0,0,1,1,0,7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0070 L4/5 IT CTX Glut_1,0,0,0,0,0,1205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0071 L4/5 IT CTX Glut_1,0,0,0,0,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0072 L4/5 IT CTX Glut_1,0,0,25,56,0,1766,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
0073 L4/5 IT CTX Glut_1,0,0,0,2,0,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0074 L4/5 IT CTX Glut_1,0,0,2,22,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0075 L4/5 IT CTX Glut_2,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0076 L4/5 IT CTX Glut_2,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0077 L4/5 IT CTX Glut_2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0078 L4/5 IT CTX Glut_2,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0079 L4/5 IT CTX Glut_2,0,0,0,3,0,35683,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0080 L4/5 IT CTX Glut_2,0,0,0,0,0,1322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0081 L4/5 IT CTX Glut_2,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0082 L4/5 IT CTX Glut_2,0,0,0,0,0,1407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0083 L4/5 IT CTX Glut_3,0,0,0,1,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0084 L4/5 IT CTX Glut_3,0,0,2,15,0,665,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0085 L4/5 IT CTX Glut_3,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0086 L4/5 IT CTX Glut_3,0,0,0,1,0,349,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0087 L4/5 IT CTX Glut_3,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0088 L4/5 IT CTX Glut_3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0089 L4/5 IT CTX Glut_4,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0090 L4/5 IT CTX Glut_4,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0091 L4/5 IT CTX Glut_4,0,0,2,0,0,5719,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0092 L4/5 IT CTX Glut_4,0,0,1,0,0,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0093 L4/5 IT CTX Glut_4,0,0,0,4,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0094 L4/5 IT CTX Glut_4,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0095 L4/5 IT CTX Glut_5,0,0,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0096 L4/5 IT CTX Glut_5,0,0,0,0,0,5295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0097 L4/5 IT CTX Glut_5,0,0,1,1,0,10100,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0098 L4/5 IT CTX Glut_5,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0099 L4/5 IT CTX Glut_6,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100 L4/5 IT CTX Glut_6,0,0,2,13,0,21607,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
0101 L4/5 IT CTX Glut_6,0,0,0,1,0,921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102 L4/5 IT CTX Glut_6,0,0,0,24,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0103 L2/3 IT CTX Glut_1,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0104 L2/3 IT CTX Glut_1,0,0,0,0,0,1148,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105 L2/3 IT CTX Glut_1,0,0,0,12,0,7701,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0106 L2/3 IT CTX Glut_1,0,0,0,2,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0107 L2/3 IT CTX Glut_1,0,0,0,1,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0108 L2/3 IT CTX Glut_2,0,0,0,0,0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0109 L2/3 IT CTX Glut_2,0,0,6,54,0,142871,8,0,160,0,0,1,0,0,0,0,0,1,0,0,0,20,8,13
0110 L2/3 IT CTX Glut_2,0,0,0,17,0,8127,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0111 L2/3 IT CTX Glut_2,0,0,0,2,0,852,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0112 L2/3 IT CTX Glut_2,0,0,1,8,0,3552,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
0113 L2/3 IT CTX Glut_3,0,0,2,1,0,884,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0114 L2/3 IT CTX Glut_3,0,0,5,12,0,2166,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0115 L2/3 IT CTX Glut_3,0,0,0,2,0,216,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0116 L2/3 IT CTX Glut_3,0,0,5,26,0,7594,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0117 L2/3 IT CTX Glut_4,0,0,1,6,0,1389,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0118 L2/3 IT CTX Glut_4,0,0,1,24,0,4030,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
0119 L2/3 IT CTX Glut_4,0,0,0,5,0,103,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
