subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
086 MPO-ADP Lhx8 Gaba,0,0,0,0,1605,0,7,1,0,2,327,91,1,22,0,1,3,2,18,0,17,0,18,0
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,0,0,0,0,157,0,0,0,0,0,50,25,2,0,0,0,0,0,0,0,2,0,6,0
088 BST Tac2 Gaba,0,0,0,0,371,0,0,0,0,1,226,23,0,2,0,0,0,0,0,1,1,0,5,0
089 PVR Six3 Sox3 Gaba,0,0,0,0,1250,0,0,0,0,0,155,223,4,76,0,3,20,0,85,0,52,0,16,0
090 BST-MPN Six3 Nrgn Gaba,0,0,2,0,1035,0,0,0,14,0,192,321,2,0,0,1,17,0,12,0,8,0,15,0
091 ARH-PVi Six6 Dopa-Gaba,0,0,0,0,152,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0
092 TMv-PMv Tbx3 Hist-Gaba,0,0,0,0,509,0,1,0,3,0,0,0,0,0,0,0,8,0,0,0,2,0,10,0
093 RT-ZI Gnb3 Gaba,5,5,0,5,476,0,18,1,1,1,212,14,4703,16,3,16,4,1,9,8,119,480,86,0
094 SCH Six6 Cdc14a Gaba,0,0,0,0,1887,2,0,4,0,1,0,2,0,2,0,0,3,0,147,0,107,0,1,0
095 DMH Prdm13 Gaba,0,1,1,0,141,2,0,1,25,0,1,5,0,1,0,0,0,0,2,0,0,0,0,0
096 PVHd Gsc Gaba,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
097 PVHd-SBPV Six3 Prox1 Gaba,0,0,0,1,321,2,1,0,37,1,3,8,7,0,0,0,0,0,2,0,0,0,3,0
098 AHN-SBPV-PVHd Pdrm12 Gaba,0,0,0,0,1386,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,2,0,16,0
099 SBPV-PVa Six6 Satb2 Gaba,0,0,0,0,659,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,6,0,0,0
100 AHN Onecut3 Gaba,0,0,0,0,1320,1,1,1,2,1,6,5,1,0,0,0,0,0,27,0,17,0,10,0
