supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0119 L6 CT CTX Glut_6,0,0,0,2,0,1034,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,14,20
0120 CT SUB Glut_1,0,78,8,1337,10,204,48,168,80,38,9,14,50,5,10,21,59,14,100,3,15,44,56,3
0121 CT SUB Glut_2,0,3,13,1358,1,46,3,0,29,0,1,6,0,1,3,9,6,3,2,0,0,16,38,1
0122 L5 NP CTX Glut_1,0,0,0,35,0,1293,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0
0123 L5 NP CTX Glut_2,0,0,8,74,0,8199,0,0,311,1,0,3,1,0,0,0,0,0,0,0,0,27,5,3
0124 L5 NP CTX Glut_3,0,0,0,16,0,6547,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
0125 L5 NP CTX Glut_4,0,0,0,3,0,500,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0126 L5 NP CTX Glut_5,0,0,0,2,0,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0127 NP SUB Glut_1,0,0,14,657,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,51,83,0
0128 NP SUB Glut_2,0,0,0,3100,0,96,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,234,0
0129 NP PPP Glut_1,0,0,0,1019,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0130 OB Eomes Ms4a15 Glut_1,0,0,0,0,0,23,0,0,5494,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0
0131 OB Eomes Ms4a15 Glut_2,0,0,2,0,0,47,0,0,10256,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0
0132 OB Eomes Ms4a15 Glut_3,0,0,1,7,0,52,0,0,2016,0,1,11,1,0,0,1,0,0,82,0,0,0,1,0
0133 OB Eomes Ms4a15 Glut_4,0,0,0,0,0,26,0,0,7151,0,0,1,0,0,0,0,0,0,114,0,0,0,0,0
0134 OB Eomes Ms4a15 Glut_5,0,0,0,0,0,25,0,0,1652,0,0,1,0,0,0,0,0,0,126,0,0,0,0,0
0135 HPF CR Glut_1,0,2,35,2729,8,190,5,0,230,0,6,83,19,10,1,4,126,0,14,0,8,1,3,0
0136 DG Glut_1,0,0,80,1209,22,1,0,0,0,0,0,137,0,0,0,1,52,0,2,0,82,70,28,0
0137 DG Glut_2,0,2,25,47319,6,20,3,0,16,1,1,27,15,54,0,1,48,2,7,0,15,26,11,1
0138 DG Glut_3,0,0,0,1014,0,1,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,1,0
0139 DG Glut_4,0,0,0,6992,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,17,21,0
0140 DG-PIR Ex IMN_1,0,0,12,13,0,1,0,0,18,0,0,14,0,0,0,28,2,0,0,0,0,112,11,2
0141 DG-PIR Ex IMN_2,0,0,0,2087,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,3,9,3,0
0142 DG-PIR Ex IMN_3,0,0,151,33,0,12,0,0,708,0,0,12,0,0,0,0,0,0,0,0,0,17,7,0
0143 OB Meis2 Thsd7b Gaba_1,0,0,4,0,0,27,0,0,9541,0,1,20,0,0,0,0,0,0,432,0,0,0,0,0
0144 OB Meis2 Thsd7b Gaba_2,0,0,1,0,0,9,0,0,1945,0,0,5,0,0,0,0,0,0,49,0,0,3,0,0
0145 OB Meis2 Thsd7b Gaba_3,0,0,0,0,0,148,0,0,789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0146 OB Meis2 Thsd7b Gaba_4,0,0,0,0,0,41,0,0,7486,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0
0147 OB Meis2 Thsd7b Gaba_5,0,0,0,0,0,15,0,0,1831,0,0,5,0,0,0,0,0,0,29,0,0,0,0,0
0148 OB Trdn Gaba_1,0,0,0,0,0,4,0,0,8868,0,0,1,0,0,0,0,0,0,109,0,0,0,0,0
0149 OB Trdn Gaba_2,0,0,1,0,0,0,1,0,15979,0,0,2,0,0,0,0,0,0,161,0,0,0,0,0
0150 OB-in Frmd7 Gaba_1,0,0,1,1,0,77,0,0,47340,0,1,5,0,0,0,0,0,0,756,0,0,0,0,0
0151 OB-in Frmd7 Gaba_2,0,0,1,1,0,10,0,0,46073,0,1,43,0,0,0,0,0,0,495,0,0,3,0,0
0152 OB-in Frmd7 Gaba_3,0,0,4,0,0,5,0,0,10650,0,0,5,0,0,0,1,0,0,92,0,0,6,0,0
0153 OB-in Frmd7 Gaba_4,0,0,0,0,0,5,0,0,8793,0,0,5,0,0,0,0,0,0,100,0,0,0,0,0
0154 OB-in Frmd7 Gaba_5,0,0,0,0,0,23,0,0,7834,0,0,9,0,0,0,0,0,0,1465,0,0,0,0,0
0155 OB-in Frmd7 Gaba_6,0,0,0,0,0,1,0,0,569,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0156 OB-in Frmd7 Gaba_7,0,0,0,0,0,0,0,0,1204,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
0157 OB-in Frmd7 Gaba_8,0,0,0,0,0,10,0,0,1049,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
0158 OB-out Frmd7 Gaba_1,0,0,8,1,0,211,0,1,34835,0,3,49,0,0,0,1,1,0,2407,0,0,19,11,1
0159 OB-out Frmd7 Gaba_2,0,0,0,0,0,24,0,0,5830,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0
0160 OB-out Frmd7 Gaba_3,0,0,0,0,0,13,0,0,715,0,0,11,0,0,0,1,0,0,34,0,0,1,1,1
0161 OB-mi Frmd7 Gaba_1,0,0,0,0,0,30,0,0,4543,0,0,7,0,0,0,0,0,0,69,0,0,0,0,0
0162 OB Dopa-Gaba_1,0,0,7,0,0,103,0,0,15359,0,8,30,0,0,0,0,0,1,711,0,0,12,0,0
0163 OB Dopa-Gaba_2,0,0,0,0,0,5,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0164 OB Dopa-Gaba_3,0,0,0,0,0,5,0,0,604,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0
0165 OB Dopa-Gaba_4,0,0,0,0,0,3,0,0,130,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
0166 OB-STR-CTX Inh IMN_1,0,1,60,172,0,22,0,0,806,0,4,1518,0,0,0,871,13,0,181,0,0,1464,145,13
0167 OB-STR-CTX Inh IMN_2,0,0,0,3,0,4,0,0,5160,0,1,93,0,0,0,67,0,0,275,0,0,89,1,0
0168 OB-STR-CTX Inh IMN_3,0,0,0,9,0,1,0,0,188,0,0,238,0,0,0,149,0,0,43,0,2,376,23,3
0169 OB-STR-CTX Inh IMN_4,1,0,7,22,1,18,0,0,7567,0,5,1815,0,0,0,1211,1,0,783,1,0,1357,66,6
0170 OB-STR-CTX Inh IMN_5,0,0,0,0,0,5,0,0,398,0,0,58,0,0,0,28,0,0,14,0,0,6,0,0
0171 OB-STR-CTX Inh IMN_6,0,0,1,1,0,1,0,0,52,0,4,44,0,0,0,19,0,0,6,0,0,5,0,0
0172 OB-STR-CTX Inh IMN_7,0,0,2,8,0,0,0,0,3,0,0,6,0,0,0,3,4,0,2,0,0,29,3,0
0173 Vip Gaba_1,0,0,176,273,2,1665,3,0,96,0,6,47,1,1,0,3,3,0,1,0,3,24,31,0
0174 Vip Gaba_2,0,0,54,157,0,434,0,0,86,0,2,18,0,0,0,0,2,0,0,0,1,6,5,0
0175 Vip Gaba_3,0,0,131,139,1,717,0,1,218,0,0,37,0,0,0,0,1,0,0,0,0,2,3,0
0176 Vip Gaba_4,0,0,144,136,1,1222,0,0,116,0,9,27,0,0,0,3,2,0,2,0,1,24,14,11
0177 Vip Gaba_5,0,0,75,536,2,3611,2,0,176,0,5,27,0,0,0,0,0,0,2,0,0,31,21,6
0178 Vip Gaba_6,0,0,21,167,0,2508,1,0,162,1,1,16,0,0,0,0,0,0,0,0,0,2,2,4
